,Player_ID,Season,Player,TeamID,Minutes,Shots Faced,Goals Conceded,Saves
0,Đorđe-Petrović-2022-1,2022,Đorđe-Petrović,NER2022,2065,111,26,84
1,Andre-Blake-2022-1,2022,Andre-Blake,PHI2022,3394,130,26,100
2,Roman-Bürki-2023-1,2023,Roman-Bürki,STL2023,3195,160,39,120
3,Andre-Blake-2021-1,2021,Andre-Blake,PHI2021,2585,98,22,76
4,Daniel-2023-1,2023,Daniel,SJE2023,2068,113,27,84
5,Matt-Turner-2021-1,2021,Matt-Turner,NER2021,2752,138,34,101
6,Aljaz-Ivacic-2022-1,2022,Aljaz-Ivacic,POR2022,3208,163,48,112
7,JT-Marcinkowski-2021-1,2021,JT-Marcinkowski,SJE2021,3292,186,50,129
8,Maxime-Crépeau-2021-1,2021,Maxime-Crépeau,VAN2021,2684,126,29,97
9,Đorđe-Petrović-2023-1,2023,Đorđe-Petrović,NER2023,2186,126,26,98
10,Andre-Blake-2023-1,2023,Andre-Blake,PHI2023,2566,96,24,70
11,Brad-Stuver-2022-1,2022,Brad-Stuver,ATX2022,3004,140,41,98
12,Brad-Stuver-2023-1,2023,Brad-Stuver,ATX2023,3318,178,53,124
13,Eloy-Room-2022-1,2022,Eloy-Room,CLB2022,3398,146,39,103
14,Maarten-Paes-2022-1,2022,Maarten-Paes,FCD2022,3189,130,34,91
15,Brad-Guzan-2021-1,2021,Brad-Guzan,ATL2021,2860,127,29,98
16,Carlos-Coronel-2021-1,2021,Carlos-Coronel,NYRB2021,3398,121,33,87
17,Steve-Clark-2021-1,2021,Steve-Clark,POR2021,2319,124,30,88
18,Roman-Celentano-2023-1,2023,Roman-Celentano,CIN2023,3229,117,33,83
19,Dayne-St.-Clair-2022-1,2022,Dayne-St.-Clair,MIN2022,3094,155,44,109
20,JT-Marcinkowski-2023-1,2023,JT-Marcinkowski,SJE2023,1252,54,15,38
21,Stefan-Frei-2022-1,2022,Stefan-Frei,SEA2022,2679,123,38,85
22,Alec-Kann-2021-1,2021,Alec-Kann,ATL2021,495,31,8,23
23,Logan-Ketterer-2021-1,2021,Logan-Ketterer,POR2021,297,12,3,9
24,Stefan-Frei-2023-1,2023,Stefan-Frei,SEA2023,3087,100,26,72
25,Alex-Bono-2023-1,2023,Alex-Bono,DCU2023,964,39,11,28
26,Tim-Melia-2023-1,2023,Tim-Melia,SKC2023,1479,66,23,42
