"","Player","Team","Season","Position","Minutes","Passes","Pass %","xPass %","Score","Per100","Distance","Vertical","Touch %","Games"
"","Tyler Miller","DCU","2023","GK","2481","1205","73.2%","67.1%","73.69","6.12","37.64","31.21","9.2%","25"
"","Boris Sekulic","CHI","2022","FB","3090","1513","81.8%","77.4%","66.02","4.36","16.98","5.45","9.2%","33"
"","Jackson Ragen","SEA","2023","CB","3051","1752","90.3%","86.7%","63.71","3.64","23.31","9.36","9.9%","31"
"","Jack Price","COL","2021","CM","2762","1818","84.2%","80.8%","61.92","3.41","23.29","5.12","11.3%","30"
"","Aidan Morris","CLB","2023","CM","2764","1801","92.0%","88.8%","57.89","3.21","17.97","1.75","10.9%","29"
"","Albert Rusnák","RSL","2021","W","3315","1652","83.4%","80.0%","56.51","3.42","21.41","1.80","9.4%","34"
"","Robin Jansson","ORL","2021","CB","2700","1314","88.0%","83.7%","56.43","4.29","23.23","11.65","9.1%","28"
"","Remi Walter","SKC","2023","CM","2938","1403","90.8%","86.8%","56.38","4.02","20.23","2.05","7.9%","32"
"","Steven Moreira","CLB","2023","CB","3169","2127","88.7%","86.1%","55.63","2.62","19.53","6.06","10.6%","33"
"","Andreu Fontàs","SKC","2021","CB","3264","2825","89.2%","87.3%","55.45","1.96","23.20","7.15","13.5%","33"
"","Darlington Nagbe","CLB","2021","DM","3192","1689","94.1%","90.8%","55.06","3.26","19.06","1.97","9.8%","33"
"","Alan Franco","ATL","2022","CB","2993","1930","89.7%","86.9%","54.81","2.84","21.63","7.09","10.8%","31"
"","Michael Bradley","TOR","2021","DM","2945","2234","86.5%","84.1%","53.92","2.41","19.41","6.21","12.0%","32"
"","Ryan Gauld","VAN","2023","AM","2794","1215","75.6%","71.2%","53.41","4.40","20.57","3.78","8.3%","31"
"","Diego Palacios","LAFC","2022","FB","2669","1640","82.0%","78.7%","53.36","3.25","18.09","2.96","12.2%","28"
"","Mark Delgado","LAG","2022","CM","2764","1996","87.8%","85.1%","53.21","2.67","18.13","4.67","11.3%","29"
"","Joel Waterman","MTL","2022","CB","2947","1951","88.4%","85.7%","53.04","2.72","21.84","8.10","11.2%","30"
"","Rudy Camacho","MTL, CLB","2023","CB","2556","1624","88.0%","84.7%","52.80","3.25","21.85","8.83","10.1%","30"
"","Andrew Farrell","NER","2021","CB","3247","1676","85.4%","82.3%","51.60","3.08","25.45","12.47","9.7%","33"
"","Ilie Sánchez","SKC","2021","CB","2761","2173","88.5%","86.2%","51.56","2.37","25.19","8.75","11.4%","30"
"","Jackson Yueill","SJE","2023","CM","2908","1764","87.7%","84.8%","50.93","2.89","18.53","6.27","11.1%","30"
"","Rudy Camacho","MTL","2022","CB","2746","1815","88.2%","85.4%","50.83","2.80","21.60","9.43","11.0%","28"
"","Aníbal Godoy","NSH","2021","DM","2191","1273","91.4%","87.5%","50.43","3.96","20.09","2.66","10.0%","26"
"","Kamal Miller","MTL","2021","CB","2616","1631","87.5%","84.4%","49.89","3.06","20.22","8.56","10.8%","27"
"","Brooks Lennon","ATL","2023","FB","3226","1901","82.4%","79.8%","49.85","2.62","19.54","-0.44","10.6%","32"
"","Dave Romney","NSH","2021","CB","3237","1615","84.5%","81.4%","49.81","3.08","24.07","9.09","9.9%","33"
"","Joel Waterman","MTL","2023","CB","2502","1653","86.1%","83.1%","49.63","3.00","24.29","9.78","11.9%","27"
"","Julian Araujo","LAG","2022","FB","3021","1828","83.1%","80.4%","48.67","2.66","18.08","1.96","9.8%","33"
"","Brooks Lennon","ATL","2021","FB","2891","1628","81.5%","78.5%","48.47","2.98","19.65","-0.57","8.7%","32"
"","Darlington Nagbe","CLB","2023","CM","3009","1513","93.3%","90.1%","48.38","3.20","16.33","1.92","7.9%","33"
"","Andreu Fontàs","SKC","2023","CB","2551","1873","89.4%","86.8%","48.29","2.58","23.51","8.11","11.9%","27"
"","César Araujo","ORL","2022","DM","2702","1486","89.8%","86.6%","47.99","3.23","19.46","4.27","9.8%","31"
"","Júnior Moreno","CIN","2023","CM","2419","1101","90.5%","86.1%","47.90","4.35","18.16","3.36","8.0%","28"
"","Jonathan Mensah","CLB","2022","CB","2847","1671","88.7%","85.8%","47.85","2.86","22.17","7.90","10.2%","30"
"","Alexander Callens","NYC","2022","CB","2685","1622","88.1%","85.2%","46.90","2.89","19.95","6.87","10.2%","27"
"","Nicolás Lodeiro","SEA","2022","AM","2527","1942","79.6%","77.2%","46.15","2.38","19.15","4.54","12.2%","28"
"","Gastón Brugman","LAG","2023","DM","2102","1582","87.9%","85.0%","46.04","2.91","19.22","6.33","12.4%","22"
"","Michael Boxall","MIN","2023","CB","3037","1373","87.8%","84.5%","45.57","3.32","21.46","8.25","9.4%","31"
"","Albert Rusnák","SEA","2022","DM","2825","1687","85.7%","83.0%","45.57","2.70","20.05","4.47","9.1%","32"
"","Rudy Camacho","MTL","2021","CB","3016","1753","88.3%","85.7%","44.82","2.56","21.53","8.88","10.3%","31"
"","Wil Trapp","MIN","2021","DM","2971","1718","86.5%","83.9%","44.71","2.60","19.96","6.04","10.2%","31"
"","Darlington Nagbe","CLB","2022","DM","3358","1734","92.6%","90.0%","44.70","2.58","18.35","1.94","9.4%","34"
"","Robin Lod","MIN","2022","W","2702","955","85.9%","81.2%","44.51","4.66","16.54","3.82","7.9%","30"
"","Héctor Herrera","HOU","2023","CM","2733","2147","82.6%","80.6%","44.42","2.07","20.37","5.43","14.0%","29"
"","Sebastian Lletget","LAG","2021","W","1995","1087","86.0%","82.0%","43.69","4.02","17.70","1.34","7.3%","26"
"","Keaton Parks","NYC","2023","CM","2731","1410","87.8%","84.7%","43.11","3.06","18.72","3.46","8.6%","31"
"","Thiago Martins","NYC","2023","CB","2361","1612","90.1%","87.4%","43.03","2.67","22.88","6.74","10.9%","25"
"","Matt Polster","NER","2021","DM","2466","1442","89.9%","87.0%","42.77","2.97","20.76","3.95","9.3%","30"
"","D.J. Taylor","MIN","2022","FB","2275","1175","75.7%","72.0%","42.54","3.62","20.22","7.63","9.5%","26"
"","Connor Ronan","COL","2023","CM","3001","1916","81.6%","79.4%","42.48","2.22","22.94","5.70","11.8%","33"
"","Keaton Parks","NYC","2021","DM","2645","1502","85.7%","82.9%","42.47","2.83","17.81","4.66","9.2%","31"
"","Brooks Lennon","ATL","2022","FB","2249","1303","78.0%","74.8%","42.16","3.24","19.23","0.23","8.9%","25"
"","Alex Roldan","SEA","2022","FB","2851","1860","81.7%","79.5%","42.05","2.26","18.09","1.92","10.4%","32"
"","João Paulo","SEA","2023","DM","2580","2053","85.7%","83.7%","41.98","2.04","20.82","4.68","12.2%","30"
"","Mauricio Pereyra","ORL","2022","AM","2720","1636","79.0%","76.5%","41.94","2.56","20.61","5.80","10.2%","32"
"","José Van Rankin","POR","2021","FB","2699","1391","81.5%","78.5%","41.31","2.97","17.58","5.15","8.8%","33"
"","Jonathan dos Santos","LAG","2021","DM","1938","1360","89.2%","86.2%","41.21","3.03","19.18","4.15","8.8%","26"
"","Andreu Fontàs","SKC","2022","CB","2672","1864","87.2%","85.0%","41.07","2.20","23.67","8.35","12.4%","28"
"","Justen Glad","RSL","2023","CB","2908","1705","87.9%","85.5%","40.81","2.39","24.57","8.72","10.8%","31"
"","Pedro Vite","VAN","2023","CM","2271","1093","83.1%","79.4%","40.45","3.70","18.92","4.22","6.9%","33"
"","Víctor Vázquez","LAG","2022","ST","1270","911","84.9%","80.4%","40.41","4.44","19.25","3.59","5.7%","26"
"","Aníbal Godoy","NSH","2023","CM","1710","962","90.8%","86.6%","40.35","4.19","20.60","4.04","8.9%","22"
"","Alfredo Morales","NYC","2022","DM","2141","1245","90.1%","86.9%","39.83","3.20","19.07","4.91","8.8%","24"
"","Julian Araujo","LAG","2021","FB","3056","1841","80.2%","78.1%","39.46","2.14","18.23","1.78","11.0%","32"
"","Chase Gasper","MIN","2021","FB","2877","1612","80.8%","78.3%","39.31","2.44","17.62","3.54","10.3%","30"
"","Kai Wagner","PHI","2021","FB","3139","1994","76.2%","74.3%","38.63","1.94","22.76","4.45","12.2%","33"
"","Thiago Martins","NYC","2022","CB","2364","1415","89.0%","86.3%","38.50","2.72","21.00","5.32","9.0%","26"
"","Antônio Carlos","ORL","2021","CB","2675","1391","87.2%","84.5%","37.98","2.73","23.30","8.55","9.4%","29"
"","DeJuan Jones","NER","2022","FB","2984","1914","82.9%","80.9%","37.93","1.98","18.01","1.20","11.5%","31"
"","Alistair Johnston","MTL","2022","FB","2929","1657","81.9%","79.6%","37.89","2.29","19.60","3.04","8.9%","33"
"","Lalas Abubakar","COL","2021","CB","2118","1047","89.5%","85.9%","37.63","3.59","21.07","7.03","8.8%","24"
"","Jonathan Osorio","TOR","2022","CM","1919","1147","90.2%","87.0%","36.66","3.20","16.07","2.83","9.1%","23"
"","Diego Fagundez","ATX","2021","W","2757","1279","83.8%","81.0%","36.65","2.87","18.02","2.12","7.6%","33"
"","Matías Vera","HOU","2022","DM","2376","1198","91.9%","88.8%","36.55","3.05","22.03","5.20","8.5%","28"
"","Matt Besler","ATX","2021","CB","1938","1409","90.3%","87.7%","36.18","2.57","21.41","7.79","11.6%","20"
"","Osvaldo Alonso","MIN","2021","DM","1577","982","91.0%","87.4%","36.00","3.67","19.31","5.16","7.6%","24"
"","Carles Gil","NER","2021","AM","2490","1647","74.1%","72.0%","35.51","2.16","22.28","5.43","11.7%","28"
