,Season,Player,Team,Minutes,Shots Faced,Goals Conceded,Saves,Player_ID,Count
0,2022,Đorđe-Petrović,NER,2065,111,26,84,Đorđe-Petrović-2022-1,1
1,2022,Andre-Blake,PHI,3394,130,26,100,Andre-Blake-2022-1,1
2,2023,Roman-Bürki,STL,3195,160,39,120,Roman-Bürki-2023-1,1
3,2021,Andre-Blake,PHI,2585,98,22,76,Andre-Blake-2021-1,1
4,2023,Daniel,SJE,2068,113,27,84,Daniel-2023-1,1
5,2021,Matt-Turner,NER,2752,138,34,101,Matt-Turner-2021-1,1
6,2022,Aljaz-Ivacic,POR,3208,163,48,112,Aljaz-Ivacic-2022-1,1
7,2021,JT-Marcinkowski,SJE,3292,186,50,129,JT-Marcinkowski-2021-1,1
8,2021,Maxime-Crépeau,VAN,2684,126,29,97,Maxime-Crépeau-2021-1,1
9,2023,Đorđe-Petrović,NER,2186,126,26,98,Đorđe-Petrović-2023-1,1
10,2023,Andre-Blake,PHI,2566,96,24,70,Andre-Blake-2023-1,1
11,2022,Brad-Stuver,ATX,3004,140,41,98,Brad-Stuver-2022-1,1
12,2023,Brad-Stuver,ATX,3318,178,53,124,Brad-Stuver-2023-1,1
13,2022,Eloy-Room,CLB,3398,146,39,103,Eloy-Room-2022-1,1
14,2022,Maarten-Paes,FCD,3189,130,34,91,Maarten-Paes-2022-1,1
15,2021,Brad-Guzan,ATL,2860,127,29,98,Brad-Guzan-2021-1,1
16,2021,Carlos-Coronel,NYRB,3398,121,33,87,Carlos-Coronel-2021-1,1
17,2021,Steve-Clark,POR,2319,124,30,88,Steve-Clark-2021-1,1
18,2023,Roman-Celentano,CIN,3229,117,33,83,Roman-Celentano-2023-1,1
19,2022,Dayne-St.-Clair,MIN,3094,155,44,109,Dayne-St.-Clair-2022-1,1
20,2023,JT-Marcinkowski,SJE,1252,54,15,38,JT-Marcinkowski-2023-1,1
21,2022,Stefan-Frei,SEA,2679,123,38,85,Stefan-Frei-2022-1,1
22,2021,Alec-Kann,ATL,495,31,8,23,Alec-Kann-2021-1,1
23,2021,Logan-Ketterer,POR,297,12,3,9,Logan-Ketterer-2021-1,1
24,2023,Stefan-Frei,SEA,3087,100,26,72,Stefan-Frei-2023-1,1
25,2023,Alex-Bono,DCU,964,39,11,28,Alex-Bono-2023-1,1
26,2023,Tim-Melia,SKC,1479,66,23,42,Tim-Melia-2023-1,1
27,2022,Stefan-Cleveland,SEA,679,37,8,28,Stefan-Cleveland-2022-1,1
28,2022,Drake-Callender,MIA,2392,116,36,78,Drake-Callender-2022-1,1
