,Player_ID,Season,Base Salary,Guaranteed Compensation
0,Lorenzo-Insigne-2022-1,2022,14000000.00,14000000.00
1,Xherdan-Shaqiri-2022-1,2022,7350000.00,8153000.00
3,Xherdan-Shaqiri-2023-1,2023,7350000.00,8153000.00
4,Lorenzo-Insigne-2023-1,2023,7500000.00,7500000.00
5,Chicharito-2022-1,2022,6000000.00,7443750.00
6,Chicharito-2023-1,2023,6000000.00,7443750.00
7,Carlos-Vela-2021-1,2021,4500000.00,6300000.00
9,Federico-Bernardeschi-2023-1,2023,3125000.00,6295381.00
10,Federico-Bernardeschi-2022-1,2022,3125000.00,6256322.00
11,Sebastián-Driussi-2023-1,2023,3800000.00,6022500.00
12,Chicharito-2021-1,2021,6000000.00,6000000.00
15,Gonzalo-Higuaín-2021-1,2021,5100000.00,5793750.00
17,Gonzalo-Higuaín-2022-1,2022,5100000.00,5793750.00
19,Héctor-Herrera-2022-1,2022,4750000.00,5246875.00
20,Héctor-Herrera-2023-1,2023,4750000.00,5246875.00
21,Alejandro-Pozuelo-2021-1,2021,3800000.00,4693000.00
23,,2022,3800000.00,4693000.00
25,Douglas-Costa-2022-1,2022,3000000.00,4508333.00
26,Douglas-Costa-2023-1,2023,3000000.00,4508333.00
27,Luiz-Araújo-2023-1,2023,3600000.00,4483333.00
28,Luiz-Araújo-2022-1,2022,3600000.00,4480333.00
29,Christian-Benteke-2023-1,2023,4250000.00,4432778.00
30,Josef-Martínez-2023-1,2023,4000000.00,4391667.00
31,Jozy-Altidore-2022-1,2022,3706139.00,4264963.00
33,Christian-Benteke-2022-1,2022,4000000.00,4182778.00
34,Josef-Martínez-2022-1,2022,3750000.00,4141667.00
36,Carlos-Vela-2022-1,2022,2250000.00,4050000.00
37,Luiz-Araújo-2021-1,2021,3600000.00,3941667.00
39,Josef-Martínez-2021-1,2021,3500000.00,3891667.00
41,Lucas-Zelarayán-2023-1,2023,3200000.00,3800000.00
42,Lucas-Zelarayán-2022-1,2022,3100000.00,3700000.00
44,Jozy-Altidore-2021-1,2021,2161250.00,3602250.00
46,Carles-Gil-2022-1,2022,3250000.00,3545833.00
48,Carles-Gil-2023-1,2023,3250000.00,3545833.00
49,Rodolfo-Pizarro-2021-1,2021,3050000.00,3350000.00
53,Rodolfo-Pizarro-2023-1,2023,3050000.00,3350000.00
54,Carlos-Vela-2023-1,2023,3000000.00,3337500.00
55,Maximiliano-Morález-2021-1,2021,2500000.00,3285000.00
57,Nicolás-Lodeiro-2022-1,2022,2640000.00,3256667.00
59,Nicolás-Lodeiro-2023-1,2023,2640000.00,3256667.00
60,Franco-Jara-2022-1,2022,2540000.00,3227000.00
62,Raúl-Ruidíaz-2022-1,2022,2472000.00,3201120.00
64,Raúl-Ruidíaz-2023-1,2023,2472000.00,3201120.00
65,Hany-Mukhtar-2023-1,2023,2900000.00,3188750.00
66,Victor-Wanyama-2021-1,2021,2400000.00,3091667.00
68,Victor-Wanyama-2022-1,2022,2400000.00,3091667.00
69,Carles-Gil-2021-1,2021,2750000.00,3045833.00
71,Franco-Jara-2021-1,2021,2290000.00,2977000.00
73,Jozy-Altidore-2023-1,2023,2381139.00,2939963.00
74,Cucho-Hernández-2022-1,2022,2600000.00,2886000.00
75,Cucho-Hernández-2023-1,2023,2600000.00,2886000.00
76,Jürgen-Locadia-2021-1,2021,2500000.00,2812500.00
79,Nicolás-Lodeiro-2021-1,2021,2120000.00,2736667.00
81,Robert-Beric-2021-1,2021,2274996.00,2703164.00
83,Sebastián-Driussi-2021-1,2021,2571420.00,2688420.00
84,Adrien-Hunou-2022-1,2022,2450000.00,2687702.00
85,Gustavo-Bou-2022-1,2022,2500000.00,2675000.00
87,Gustavo-Bou-2023-1,2023,2500000.00,2675000.00
88,Adrien-Hunou-2021-1,2021,2350000.00,2587702.00
89,Ryan-Gauld-2023-1,2023,2400000.00,2505000.00
90,Nani-2021-1,2021,2333333.00,2486250.00
92,Gareth-Bale-2022-1,2022,1600000.00,2386667.00
93,Gastón-Giménez-2022-1,2022,2060000.00,2360667.00
95,Gastón-Giménez-2021-1,2021,2058000.00,2358667.00
97,Ezequiel-Barco-2021-1,2021,1875000.00,2358333.00
98,Albert-Rusnák-2021-1,2021,2150000.00,2351667.00
100,Carlos-Salcedo-2022-1,2022,2200000.00,2351000.00
101,Walker-Zimmerman-2022-1,2022,2088235.00,2345214.00
102,Thiago-Almada-2022-1,2022,1650000.00,2332000.00
104,Thiago-Almada-2023-1,2023,1650000.00,2332000.00
105,Sebastián-Driussi-2022-1,2022,2200000.00,2317000.00
107,Sebastián-Blanco-2021-1,2021,2200000.00,2313333.00
109,Emiliano-Rigoni-2022-1,2022,1846152.00,2294152.00
110,Ryan-Gauld-2022-1,2022,2160000.00,2265000.00
112,Karol-Swiderski-2022-1,2022,2200000.00,2258000.00
114,Karol-Swiderski-2023-1,2023,2200000.00,2258000.00
115,Evander-2023-1,2023,1885000.00,2230000.00
116,Jefferson-Savarino-2022-1,2022,2000000.00,2224292.00
117,Luciano-Acosta-2021-1,2021,1943500.00,2222854.00
