"","Player","Team","Season","Position","Minutes","Shots","SoT","G","xG","xPlace","G-xG","KeyP","A","xA","A-xA","xG+xA","PA","xPA"
"","Hany Mukhtar","NSH","2022","ST","3082","126","65","23","21.01","-0.08","1.99","78","6","7.44","-1.44","28.45","8.78","12.14"
"","Daniel Gazdag","PHI","2022","AM","3216","61","42","22","18.18","1.69","3.82","43","6","5.51","0.49","23.69","6.54","6.50"
"","Taty Castellanos","NYC","2021","ST","2991","132","57","19","19.01","-0.57","-0.01","34","6","4.24","1.76","23.25","6.46","8.29"
"","Luciano Acosta","CIN","2023","AM","2773","80","39","16","13.77","2.32","2.23","88","10","8.92","1.08","22.69","10.99","10.16"
"","Cucho Hernández","CLB","2023","ST","2531","152","55","15","17.53","-2.66","-2.53","36","6","4.79","1.21","22.32","4.03","9.01"
"","Luciano Acosta","CIN","2022","AM","2708","62","22","10","10.80","-1.31","-0.80","91","13","11.35","1.65","22.14","3.19","5.29"
"","Christian Benteke","DCU","2023","ST","3134","107","40","14","18.33","-1.95","-4.33","36","2","3.53","-1.53","21.86","7.54","11.79"
"","Ryan Gauld","VAN","2023","AM","2794","73","26","11","12.83","-1.66","-1.83","74","11","8.96","2.04","21.79","6.26","8.36"
"","Hany Mukhtar","NSH","2023","ST","3041","115","47","15","13.56","1.67","1.44","65","9","8.07","0.93","21.63","6.42","8.02"
"","Denis Bouanga","LAFC","2023","W","2713","132","50","19","14.34","-1.10","4.66","40","6","6.82","-0.82","21.16","7.47","8.06"
"","Thiago Almada","ATL","2023","AM","2998","108","43","11","9.36","-0.28","1.64","88","15","10.94","4.06","20.30","5.94","4.96"
"","Brian White","VAN","2023","ST","2711","93","44","15","16.53","1.35","-1.53","31","3","3.76","-0.76","20.29","7.49","8.96"
"","Adam Buksa","NER","2021","ST","2282","111","43","16","17.83","-1.09","-1.83","15","3","1.44","1.56","19.27","7.77","9.69"
"","Cristian Arango","LAFC","2022","ST","2562","108","47","16","15.98","-0.97","0.02","20","4","3.25","0.75","19.23","7.45","9.25"
"","Ola Kamara","DCU","2021","ST","1950","64","34","19","16.47","1.68","2.53","24","2","2.68","-0.68","19.15","8.89","9.04"
"","Gustavo Bou","NER","2021","ST","2491","91","35","15","9.78","2.34","5.22","60","8","9.05","-1.05","18.83","6.36","5.88"
"","Brandon Vázquez","CIN","2022","ST","2969","82","40","18","15.34","-0.39","2.66","26","6","3.44","2.56","18.78","9.81","10.21"
"","Romell Quioto","MTL","2022","ST","2232","76","34","15","13.93","-1.82","1.07","31","5","4.60","0.40","18.53","4.27","5.77"
"","Jeremy Ebobisse","SJE","2022","ST","3174","103","46","17","15.84","1.43","1.16","26","2","2.45","-0.45","18.29","11.13","10.33"
"","Carles Gil","NER","2022","AM","3181","69","25","7","8.51","-1.26","-1.51","114","9","9.75","-0.75","18.26","5.66","6.14"
