,Date,Home_team_ID,HG,Away_team_ID,AG
0,2023-10-18,MIA2023,2,CLT2023,2
1,2023-10-14,LAG2023,2,RSL2023,2
2,2023-10-14,NSH2023,3,NER2023,2
3,2023-10-14,FCD2023,1,COL2023,1
4,2023-10-07,SEA2023,0,VAN2023,0
5,2023-10-07,RSL2023,2,SKC2023,3
6,2023-10-07,CHI2023,0,CLT2023,2
7,2023-10-07,MIN2023,5,LAG2023,2
8,2023-10-07,HOU2023,5,COL2023,1
9,2023-10-07,ATX2023,1,LAFC2023,4
10,2023-10-07,FCD2023,1,SJE2023,1
11,2023-10-07,NYRB2023,3,TOR2023,0
12,2023-10-07,MIA2023,0,CIN2023,1
13,2023-10-07,MTL2023,4,POR2023,1
14,2023-10-07,PHI2023,0,NSH2023,0
15,2023-10-07,ORL2023,3,NER2023,2
16,2023-10-07,ATL2023,1,CLB2023,1
17,2023-10-07,DCU2023,2,NYC2023,0
18,2023-10-04,VAN2023,3,STL2023,0
19,2023-10-04,LAFC2023,4,MIN2023,1
20,2023-10-04,SEA2023,2,LAG2023,1
21,2023-10-04,NSH2023,0,ORL2023,1
22,2023-10-04,CHI2023,4,MIA2023,1
23,2023-10-04,ATX2023,3,DCU2023,0
24,2023-10-04,PHI2023,3,ATL2023,2
25,2023-10-04,MTL2023,1,HOU2023,1
26,2023-10-04,NER2023,1,CLB2023,2
27,2023-10-04,CLT2023,3,TOR2023,0
28,2023-10-04,CIN2023,1,NYRB2023,2
29,2023-10-01,LAFC2023,0,RSL2023,1
30,2023-09-30,LAG2023,3,POR2023,2
31,2023-09-30,VAN2023,2,DCU2023,2
32,2023-09-30,COL2023,1,ATX2023,0
33,2023-09-30,MIA2023,1,NYC2023,1
34,2023-09-30,NSH2023,0,SEA2023,0
35,2023-09-30,MIN2023,1,SJE2023,1
36,2023-09-30,STL2023,4,SKC2023,1
37,2023-09-30,HOU2023,0,FCD2023,0
38,2023-09-30,NER2023,2,CLT2023,1
39,2023-09-30,ORL2023,2,MTL2023,0
40,2023-09-30,CLB2023,1,PHI2023,1
41,2023-09-30,TOR2023,2,CIN2023,3
42,2023-09-30,NYRB2023,0,CHI2023,1
43,2023-09-27,COL2023,2,VAN2023,2
44,2023-09-27,PHI2023,1,FCD2023,1
45,2023-09-24,ATX2023,3,LAG2023,3
46,2023-09-24,ORL2023,1,MIA2023,1
47,2023-09-24,NYC2023,3,TOR2023,0
48,2023-09-23,SJE2023,1,NSH2023,1
49,2023-09-23,POR2023,3,COL2023,2
50,2023-09-23,RSL2023,2,VAN2023,1
51,2023-09-23,FCD2023,1,CLB2023,0
52,2023-09-23,SKC2023,2,HOU2023,1
53,2023-09-23,MIN2023,1,STL2023,2
54,2023-09-23,CHI2023,2,NER2023,2
55,2023-09-23,DCU2023,3,NYRB2023,5
56,2023-09-23,ATL2023,4,MTL2023,1
57,2023-09-23,CIN2023,3,CLT2023,0
58,2023-09-23,PHI2023,0,LAFC2023,0
59,2023-09-20,LAG2023,4,MIN2023,3
60,2023-09-20,POR2023,2,SJE2023,1
61,2023-09-20,COL2023,1,SEA2023,2
62,2023-09-20,RSL2023,1,FCD2023,3
63,2023-09-20,STL2023,0,LAFC2023,0
64,2023-09-20,SKC2023,0,NSH2023,3
65,2023-09-20,HOU2023,4,VAN2023,0
66,2023-09-20,DCU2023,1,ATL2023,1
67,2023-09-20,CLT2023,2,PHI2023,2
68,2023-09-20,NYC2023,2,ORL2023,0
69,2023-09-20,CLB2023,3,CHI2023,0
70,2023-09-20,MTL2023,1,CIN2023,1
71,2023-09-20,MIA2023,4,TOR2023,0
72,2023-09-20,NYRB2023,0,ATX2023,1
73,2023-09-17,ATX2023,1,POR2023,2
74,2023-09-16,SJE2023,2,RSL2023,1
75,2023-09-16,LAFC2023,4,LAG2023,2
76,2023-09-16,COL2023,2,NER2023,1
77,2023-09-16,FCD2023,1,SEA2023,1
78,2023-09-16,HOU2023,1,STL2023,1
79,2023-09-16,MIN2023,0,SKC2023,1
80,2023-09-16,MTL2023,0,CHI2023,0
81,2023-09-16,TOR2023,1,VAN2023,2
82,2023-09-16,PHI2023,2,CIN2023,2
83,2023-09-16,ORL2023,4,CLB2023,3
84,2023-09-16,CLT2023,0,DCU2023,0
85,2023-09-16,ATL2023,4,MIA2023,2
86,2023-09-16,NYC2023,0,NYRB2023,0
87,2023-09-10,LAG2023,2,STL2023,2
88,2023-09-09,POR2023,2,LAFC2023,0
89,2023-09-09,MIN2023,1,NER2023,1
90,2023-09-09,MIA2023,3,SKC2023,2
91,2023-09-09,DCU2023,0,SJE2023,0
92,2023-09-03,LAFC2023,1,MIA2023,3
93,2023-09-03,PHI2023,4,NYRB2023,1
94,2023-09-02,SJE2023,1,MIN2023,1
95,2023-09-02,LAG2023,0,HOU2023,0
96,2023-09-02,SEA2023,2,POR2023,2
97,2023-09-02,RSL2023,2,COL2023,0
98,2023-09-02,FCD2023,2,ATL2023,2
99,2023-09-02,SKC2023,2,STL2023,1
100,2023-09-02,NSH2023,1,CLT2023,1
101,2023-09-02,NER2023,2,ATX2023,2
102,2023-09-02,DCU2023,3,CHI2023,0
103,2023-09-02,MTL2023,2,CLB2023,3
104,2023-09-02,CIN2023,0,ORL2023,1
105,2023-09-02,NYC2023,1,VAN2023,1
106,2023-08-30,SJE2023,1,LAG2023,3
107,2023-08-30,POR2023,2,RSL2023,1
108,2023-08-30,ATX2023,1,SEA2023,2
109,2023-08-30,MIN2023,3,COL2023,0
110,2023-08-30,HOU2023,2,CLB2023,0
111,2023-08-30,STL2023,2,FCD2023,1
112,2023-08-30,CHI2023,0,VAN2023,1
113,2023-08-30,MIA2023,0,NSH2023,0
114,2023-08-30,ATL2023,1,CIN2023,2
115,2023-08-30,CLT2023,1,ORL2023,1
116,2023-08-30,NYC2023,2,MTL2023,0
117,2023-08-30,NER2023,1,NYRB2023,0
118,2023-08-30,TOR2023,3,PHI2023,1
119,2023-08-27,MIN2023,0,SEA2023,1
120,2023-08-26,LAG2023,3,CHI2023,0
121,2023-08-26,POR2023,2,VAN2023,3
122,2023-08-26,RSL2023,0,HOU2023,3
123,2023-08-26,FCD2023,1,ATX2023,0
124,2023-08-26,SKC2023,3,SJE2023,0
125,2023-08-26,DCU2023,1,PHI2023,3
126,2023-08-26,CIN2023,3,NYC2023,0
127,2023-08-26,CLB2023,2,TOR2023,0
128,2023-08-26,NYRB2023,0,MIA2023,2
129,2023-08-26,MTL2023,1,NER2023,0
130,2023-08-26,ATL2023,4,NSH2023,0
131,2023-08-26,CLT2023,2,LAFC2023,1
132,2023-08-26,ORL2023,2,STL2023,1
133,2023-08-23,LAFC2023,4,COL2023,0
134,2023-08-20,VAN2023,0,SJE2023,1
135,2023-08-20,SEA2023,0,ATL2023,2
136,2023-08-20,STL2023,6,ATX2023,3
137,2023-08-20,HOU2023,5,POR2023,0
138,2023-08-20,CHI2023,1,ORL2023,3
139,2023-08-20,NYRB2023,1,DCU2023,0
140,2023-08-20,CLB2023,3,CIN2023,0
141,2023-08-20,TOR2023,2,MTL2023,2
142,2023-08-20,NYC2023,0,MIN2023,2
143,2023-07-15,POR2023,3,CLB2023,2
144,2023-07-15,SEA2023,0,FCD2023,1
145,2023-07-15,VAN2023,4,LAG2023,2
146,2023-07-15,COL2023,0,HOU2023,0
147,2023-07-15,RSL2023,3,NYRB2023,1
148,2023-07-15,ATX2023,2,SKC2023,1
149,2023-07-15,STL2023,3,MIA2023,0
