,Player_ID,Passes,Distance,Vertical,Score,Season
0,Tyler-Miller-2023-1,1205,37.64,31.21,73.69,2023
1,Boris-Sekulic-2022-1,1513,16.98,5.45,66.02,2022
2,Jackson-Ragen-2023-1,1752,23.31,9.36,63.71,2023
3,Jack-Price-2021-1,1818,23.29,5.12,61.92,2021
4,Aidan-Morris-2023-1,1801,17.97,1.75,57.89,2023
5,Albert-Rusnák-2021-1,1652,21.41,1.8,56.51,2021
6,Robin-Jansson-2021-1,1314,23.23,11.65,56.43,2021
7,Remi-Walter-2023-1,1403,20.23,2.05,56.38,2023
8,Steven-Moreira-2023-1,2127,19.53,6.06,55.63,2023
9,Andreu-Fontàs-2021-1,2825,23.2,7.15,55.45,2021
10,Darlington-Nagbe-2021-1,1689,19.06,1.97,55.06,2021
11,Alan-Franco-2022-1,1930,21.63,7.09,54.81,2022
12,Michael-Bradley-2021-1,2234,19.41,6.21,53.92,2021
13,Ryan-Gauld-2023-1,1215,20.57,3.78,53.41,2023
14,Diego-Palacios-2022-1,1640,18.09,2.96,53.36,2022
15,Mark-Delgado-2022-1,1996,18.13,4.67,53.21,2022
16,Joel-Waterman-2022-1,1951,21.84,8.1,53.04,2022
17,Rudy-Camacho-2023-1,1624,21.85,8.83,52.8,2023
18,Andrew-Farrell-2021-1,1676,25.45,12.47,51.6,2021
19,Ilie-Sánchez-2021-1,2173,25.19,8.75,51.56,2021
20,Jackson-Yueill-2023-1,1764,18.53,6.27,50.93,2023
21,Rudy-Camacho-2022-1,1815,21.6,9.43,50.83,2022
22,Aníbal-Godoy-2021-1,1273,20.09,2.66,50.43,2021
23,Kamal-Miller-2021-1,1631,20.22,8.56,49.89,2021
24,Brooks-Lennon-2023-1,1901,19.54,-0.44,49.85,2023
25,Dave-Romney-2021-1,1615,24.07,9.09,49.81,2021
26,Joel-Waterman-2023-1,1653,24.29,9.78,49.63,2023
27,Julian-Araujo-2022-1,1828,18.08,1.96,48.67,2022
28,Brooks-Lennon-2021-1,1628,19.65,-0.57,48.47,2021
29,Darlington-Nagbe-2023-1,1513,16.33,1.92,48.38,2023
30,Andreu-Fontàs-2023-1,1873,23.51,8.11,48.29,2023
31,César-Araujo-2022-1,1486,19.46,4.27,47.99,2022
32,Júnior-Moreno-2023-1,1101,18.16,3.36,47.9,2023
33,Jonathan-Mensah-2022-1,1671,22.17,7.9,47.85,2022
34,Alexander-Callens-2022-1,1622,19.95,6.87,46.9,2022
35,Nicolás-Lodeiro-2022-1,1942,19.15,4.54,46.15,2022
36,Gastón-Brugman-2023-1,1582,19.22,6.33,46.04,2023
