,Player_ID,Season,Player,TeamID,Position,Minutes,Shots,SoT,G
0,Hany-Mukhtar-2022-1,2022,Hany-Mukhtar,NSH2022,ST,3082,126,65,23
1,Daniel-Gazdag-2022-1,2022,Daniel-Gazdag,PHI2022,AM,3216,61,42,22
2,Taty-Castellanos-2021-1,2021,Taty-Castellanos,NYC2021,ST,2991,132,57,19
3,Luciano-Acosta-2023-1,2023,Luciano-Acosta,CIN2023,AM,2773,80,39,16
4,Cucho-Hernández-2023-1,2023,Cucho-Hernández,CLB2023,ST,2531,152,55,15
5,Luciano-Acosta-2022-1,2022,Luciano-Acosta,CIN2022,AM,2708,62,22,10
6,Christian-Benteke-2023-1,2023,Christian-Benteke,DCU2023,ST,3134,107,40,14
7,Ryan-Gauld-2023-1,2023,Ryan-Gauld,VAN2023,AM,2794,73,26,11
8,Hany-Mukhtar-2023-1,2023,Hany-Mukhtar,NSH2023,ST,3041,115,47,15
9,Denis-Bouanga-2023-1,2023,Denis-Bouanga,LAFC2023,W,2713,132,50,19
10,Thiago-Almada-2023-1,2023,Thiago-Almada,ATL2023,AM,2998,108,43,11
11,Brian-White-2023-1,2023,Brian-White,VAN2023,ST,2711,93,44,15
12,Adam-Buksa-2021-1,2021,Adam-Buksa,NER2021,ST,2282,111,43,16
13,Cristian-Arango-2022-1,2022,Cristian-Arango,LAFC2022,ST,2562,108,47,16
14,Ola-Kamara-2021-1,2021,Ola-Kamara,DCU2021,ST,1950,64,34,19
15,Gustavo-Bou-2021-1,2021,Gustavo-Bou,NER2021,ST,2491,91,35,15
16,Brandon-Vázquez-2022-1,2022,Brandon-Vázquez,CIN2022,ST,2969,82,40,18
17,Romell-Quioto-2022-1,2022,Romell-Quioto,MTL2022,ST,2232,76,34,15
18,Jeremy-Ebobisse-2022-1,2022,Jeremy-Ebobisse,SJE2022,ST,3174,103,46,17
19,Carles-Gil-2022-1,2022,Carles-Gil,NER2022,AM,3181,69,25,7
20,Sebastián-Driussi-2022-1,2022,Sebastián-Driussi,ATX2022,AM,3175,97,39,22
21,Chicharito-2022-1,2022,Chicharito,LAG2022,ST,2811,88,38,18
22,Hany-Mukhtar-2021-1,2021,Hany-Mukhtar,NSH2021,ST,2670,94,43,16
23,Cristian-Espinoza-2023-1,2023,Cristian-Espinoza,SJE2023,W,3268,61,30,12
24,Carles-Gil-2021-1,2021,Carles-Gil,NER2021,AM,2490,52,19,4
25,Daniel-Gazdag-2023-1,2023,Daniel-Gazdag,PHI2023,AM,2967,64,29,14
26,Diego-Rubio-2022-1,2022,Diego-Rubio,COL2022,AM,2670,93,39,16
27,Taty-Castellanos-2022-1,2022,Taty-Castellanos,NYC2022,ST,1653,81,33,13
28,Carlos-Vela-2022-1,2022,Carlos-Vela,LAFC2022,W,2528,61,26,12
29,Bongokuhle-Hlongwane-2023-1,2023,Bongokuhle-Hlongwane,MIN2023,W,2688,85,36,8
30,Dániel-Sallói-2021-1,2021,Dániel-Sallói,SKC2021,W,2682,86,38,16
31,Julián-Carranza-2022-1,2022,Julián-Carranza,PHI2022,ST,2379,90,36,14
32,Raúl-Ruidíaz-2021-1,2021,Raúl-Ruidíaz,SEA2021,ST,2362,91,38,17
33,Damir-Kreilach-2021-1,2021,Damir-Kreilach,RSL2021,ST,3138,74,39,16
34,Jesús-Ferreira-2022-1,2022,Jesús-Ferreira,FCD2022,ST,2913,82,43,18
35,Carles-Gil-2023-1,2023,Carles-Gil,NER2023,AM,2789,72,29,11
36,Brenner-2022-1,2022,Brenner,CIN2022,ST,2236,77,34,18
37,Cristian-Espinoza-2022-1,2022,Cristian-Espinoza,SJE2022,W,3054,73,25,7
38,Chicharito-2021-1,2021,Chicharito,LAG2021,ST,1882,59,32,17
39,Maximiliano-Morález-2021-1,2021,Maximiliano-Morález,NYC2021,AM,2616,64,23,3
40,Emanuel-Reynoso-2022-1,2022,Emanuel-Reynoso,MIN2022,AM,2718,77,28,10
41,Patryk-Klimala-2021-1,2021,Patryk-Klimala,NYRB2021,ST,2267,96,29,8
42,Gyasi-Zardes-2022-1,2022,Gyasi-Zardes,,ST,2499,53,19,10
43,Gonzalo-Higuaín-2021-1,2021,Gonzalo-Higuaín,MIA2021,ST,2668,82,35,12
44,Carlos-Vela-2023-1,2023,Carlos-Vela,LAFC2023,ST,2186,59,24,9
45,Johnny-Russell-2021-1,2021,Johnny-Russell,SKC2021,W,2446,69,33,15
46,Albert-Rusnák-2021-1,2021,Albert-Rusnák,RSL2021,W,3315,65,32,11
47,Djordje-Mihailovic-2021-1,2021,Djordje-Mihailovic,MTL2021,AM,3054,59,15,4
48,Julián-Carranza-2023-1,2023,Julián-Carranza,PHI2023,ST,2667,80,31,13
49,Talles-Magno-2022-1,2022,Talles-Magno,NYC2022,W,2886,65,24,7
50,Facundo-Torres-2023-1,2023,Facundo-Torres,ORL2023,W,2609,65,26,14
51,Lewis-Morgan-2022-1,2022,Lewis-Morgan,NYRB2022,W,2915,85,32,14
52,Santiago-Rodríguez-2022-1,2022,Santiago-Rodríguez,NYC2022,AM,2730,50,18,4
53,Cristian-Arango-2021-1,2021,Cristian-Arango,LAFC2021,ST,1544,63,32,14
54,Jesús-Ferreira-2023-1,2023,Jesús-Ferreira,FCD2023,ST,2404,58,22,12
55,Marcelino-Moreno-2021-1,2021,Marcelino-Moreno,ATL2021,CM,2799,79,30,9
56,Thiago-Almada-2022-1,2022,Thiago-Almada,ATL2022,AM,2622,77,24,6
57,C.J.-Sapong-2021-1,2021,C.J.-Sapong,NSH2021,ST,2349,66,34,12
58,Sebastián-Driussi-2023-1,2023,Sebastián-Driussi,ATX2023,AM,2460,76,31,11
59,Karol-Swiderski-2023-1,2023,Karol-Swiderski,CLT2023,ST,2584,78,26,12
60,Felipe-Mora-2021-1,2021,Felipe-Mora,POR2021,ST,2211,65,26,11
61,Georgios-Giakoumakis-2023-1,2023,Georgios-Giakoumakis,ATL2023,ST,1853,61,29,15
62,Gonzalo-Higuaín-2022-1,2022,Gonzalo-Higuaín,MIA2022,ST,1930,50,20,16
63,Alejandro-Pozuelo-2022-1,2022,Alejandro-Pozuelo,,AM,2651,33,20,6
64,Xherdan-Shaqiri-2022-1,2022,Xherdan-Shaqiri,CHI2022,AM,2456,51,16,7
65,Carlos-Ferreira-2022-1,2022,Carlos-Ferreira,HOU2022,ST,2521,68,26,13
66,Fabio-2021-1,2021,Fabio,NYRB2021,ST,2393,86,18,7
67,Luiz-Araújo-2022-1,2022,Luiz-Araújo,ATL2022,W,2382,98,33,4
68,Ryan-Gauld-2022-1,2022,Ryan-Gauld,VAN2022,AM,2435,75,25,8
69,Lucas-Zelarayán-2021-1,2021,Lucas-Zelarayán,CLB2021,AM,2882,90,33,12
70,Jordan-Morris-2022-1,2022,Jordan-Morris,SEA2022,W,2500,54,24,7
71,Luciano-Acosta-2021-1,2021,Luciano-Acosta,CIN2021,AM,2967,60,24,7
72,Robert-Beric-2021-1,2021,Robert-Beric,CHI2021,ST,2369,78,27,8
73,Emanuel-Reynoso-2021-1,2021,Emanuel-Reynoso,MIN2021,AM,2563,97,23,5
74,Luis-Amarilla-2022-1,2022,Luis-Amarilla,MIN2022,ST,2536,76,26,9
75,Santiago-Moreno-2022-1,2022,Santiago-Moreno,POR2022,W,2659,48,21,7
76,Brandon-Vázquez-2023-1,2023,Brandon-Vázquez,CIN2023,ST,2529,68,31,8
77,Lucas-Zelarayán-2022-1,2022,Lucas-Zelarayán,CLB2022,AM,2550,85,33,10
78,Cristian-Dájome-2021-1,2021,Cristian-Dájome,VAN2021,W,2890,56,21,10
79,Dániel-Sallói-2023-1,2023,Dániel-Sallói,SKC2023,W,3043,74,32,7
80,Paul-Arriola-2022-1,2022,Paul-Arriola,FCD2022,W,2813,55,22,10
81,Amine-Bassi-2023-1,2023,Amine-Bassi,HOU2023,AM,2080,40,17,10
82,Fafa-Picault-2021-1,2021,Fafa-Picault,HOU2021,W,2668,49,20,11
83,Julian-Gressel-2021-1,2021,Julian-Gressel,DCU2021,FB,2925,46,11,2
84,Darwin-Quintero-2022-1,2022,Darwin-Quintero,HOU2022,AM,1938,42,19,8
85,Kacper-Przybylko-2021-1,2021,Kacper-Przybylko,PHI2021,ST,2923,63,31,12
86,José-Cifuentes-2021-1,2021,José-Cifuentes,LAFC2021,CM,2552,64,17,5
87,Josef-Martínez-2021-1,2021,Josef-Martínez,ATL2021,ST,1759,58,21,12
88,Nicolás-Lodeiro-2022-1,2022,Nicolás-Lodeiro,SEA2022,AM,2527,40,15,7
89,Karol-Swiderski-2022-1,2022,Karol-Swiderski,CLT2022,ST,2656,72,36,10
90,Romell-Quioto-2021-1,2021,Romell-Quioto,MTL2021,ST,1331,46,18,8
91,Brenner-2021-1,2021,Brenner,CIN2021,ST,3035,67,24,8
92,Jesús-Jiménez-2022-1,2022,Jesús-Jiménez,TOR2022,ST,2608,53,21,9
93,Johnny-Russell-2022-1,2022,Johnny-Russell,SKC2022,W,2923,65,21,8
94,Djordje-Mihailovic-2022-1,2022,Djordje-Mihailovic,MTL2022,CM,2193,41,24,9
95,Nicholas-Gioacchini-2023-1,2023,Nicholas-Gioacchini,STL2023,ST,2214,43,22,10
96,Robin-Lod-2021-1,2021,Robin-Lod,MIN2021,W,1950,67,23,9
97,Lucas-Zelarayán-2023-1,2023,Lucas-Zelarayán,CLB2023,AM,1892,66,24,10
98,Mikael-Uhre-2023-1,2023,Mikael-Uhre,PHI2023,ST,2270,57,21,9
99,Dejan-Joveljic-2023-1,2023,Dejan-Joveljic,LAG2023,ST,1729,48,22,6
100,Riqui-Puig-2023-1,2023,Riqui-Puig,LAG2023,CM,2776,86,34,7
101,Jeremy-Ebobisse-2023-1,2023,Jeremy-Ebobisse,SJE2023,ST,3162,59,20,10
102,Javier-López-2021-1,2021,Javier-López,SJE2021,AM,2418,53,23,12
103,Jordan-Morris-2023-1,2023,Jordan-Morris,SEA2023,W,2085,40,18,11
104,Jesús-Ferreira-2021-1,2021,Jesús-Ferreira,FCD2021,AM,2430,56,24,8
105,Jesús-Medina-2021-1,2021,Jesús-Medina,NYC2021,W,2442,56,28,9
106,Cecilio-Domínguez-2021-1,2021,Cecilio-Domínguez,ATX2021,W,2560,66,33,7
107,Sergio-Córdova-2022-1,2022,Sergio-Córdova,RSL2022,ST,2458,59,31,9
108,Federico-Bernardeschi-2023-1,2023,Federico-Bernardeschi,TOR2023,W,2736,76,31,5
109,C.J.-Sapong-2022-1,2022,C.J.-Sapong,NSH2022,ST,2653,51,15,5
110,Patryk-Klimala-2022-1,2022,Patryk-Klimala,NYRB2022,ST,1792,54,24,5
111,Emanuel-Reynoso-2023-1,2023,Emanuel-Reynoso,MIN2023,AM,1381,44,16,6
112,Ercan-Kara-2022-1,2022,Ercan-Kara,ORL2022,ST,1929,48,19,11
113,Cristian-Roldan-2021-1,2021,Cristian-Roldan,SEA2021,AM,2581,53,14,6
114,Tyler-Boyd-2023-1,2023,Tyler-Boyd,LAG2023,W,2414,63,25,7
115,Dairon-Asprilla-2022-1,2022,Dairon-Asprilla,POR2022,W,2052,50,17,10
116,Alan-Pulido-2023-1,2023,Alan-Pulido,SKC2023,ST,2300,54,29,14
117,Álvaro-Barreal-2023-1,2023,Álvaro-Barreal,CIN2023,FB,3009,55,13,5
118,Michael-Barrios-2021-1,2021,Michael-Barrios,COL2021,ST,2255,55,21,8
119,Rubio-Rubín-2021-1,2021,Rubio-Rubín,RSL2021,ST,2410,70,25,8
120,Sebastián-Blanco-2022-1,2022,Sebastián-Blanco,POR2022,AM,2010,59,20,7
121,Ricardo-Pepi-2021-1,2021,Ricardo-Pepi,FCD2021,ST,2284,67,31,13
122,Brian-White-2021-1,2021,Brian-White,,ST,2262,47,24,12
123,Kevin-Cabral-2021-1,2021,Kevin-Cabral,LAG2021,W,2182,48,24,5
124,Cole-Bassett-2021-1,2021,Cole-Bassett,COL2021,AM,2412,60,19,5
125,Julian-Gressel-2023-1,2023,Julian-Gressel,,CM,2243,39,12,4
126,Diego-Fagundez-2022-1,2022,Diego-Fagundez,ATX2022,W,2952,37,12,6
127,Franco-Jara-2021-1,2021,Franco-Jara,FCD2021,ST,1410,59,19,7
128,Ezequiel-Barco-2021-1,2021,Ezequiel-Barco,ATL2021,ST,2330,61,20,7
129,Carlos-Vela-2021-1,2021,Carlos-Vela,LAFC2021,W,1402,59,18,5
130,Ola-Kamara-2022-1,2022,Ola-Kamara,DCU2022,ST,1652,36,21,9
131,Kwadwo-Opoku-2022-1,2022,Kwadwo-Opoku,LAFC2022,W,1946,58,25,7
132,Leonardo-Campana-2023-1,2023,Leonardo-Campana,MIA2023,ST,1713,52,23,9
133,Santiago-Rodríguez-2023-1,2023,Santiago-Rodríguez,NYC2023,AM,2786,46,16,5
134,Adrien-Hunou-2021-1,2021,Adrien-Hunou,MIN2021,ST,1823,66,24,7
135,Gadi-Kinda-2021-1,2021,Gadi-Kinda,SKC2021,CM,2200,51,25,5
136,Mateusz-Klich-2023-1,2023,Mateusz-Klich,DCU2023,CM,3025,43,17,4
137,Ronaldo-Cisneros-2022-1,2022,Ronaldo-Cisneros,ATL2022,ST,1867,48,18,7
138,Fafa-Picault-2022-1,2022,Fafa-Picault,HOU2022,W,2604,58,23,7
139,Maximiliano-Morález-2022-1,2022,Maximiliano-Morález,NYC2022,AM,2321,40,14,2
140,Diego-Rossi-2021-1,2021,Diego-Rossi,LAFC2021,ST,1823,63,24,6
141,Yimmi-Chará-2021-1,2021,Yimmi-Chará,POR2021,W,2491,44,16,6
142,Franco-Fragapane-2021-1,2021,Franco-Fragapane,MIN2021,W,1635,30,10,5
143,José-Cifuentes-2022-1,2022,José-Cifuentes,LAFC2022,CM,2557,56,23,7
144,Mikael-Uhre-2022-1,2022,Mikael-Uhre,PHI2022,ST,1758,47,32,13
145,Alan-Pulido-2021-1,2021,Alan-Pulido,SKC2021,ST,1578,59,16,8
146,Michael-Barrios-2022-1,2022,Michael-Barrios,COL2022,W,2087,46,12,2
147,Nicolás-Lodeiro-2023-1,2023,Nicolás-Lodeiro,SEA2023,AM,2717,47,12,1
148,Kwadwo-Opoku-2023-1,2023,Kwadwo-Opoku,,W,2183,53,19,6
149,Dániel-Sallói-2022-1,2022,Dániel-Sallói,SKC2022,W,2759,72,28,7
150,Dejan-Joveljic-2022-1,2022,Dejan-Joveljic,LAG2022,ST,1194,34,22,11
151,Leonardo-Campana-2022-1,2022,Leonardo-Campana,MIA2022,ST,1732,54,25,11
152,Jhon-Durán-2022-1,2022,Jhon-Durán,CHI2022,ST,1534,60,24,8
153,Sebastián-Blanco-2021-1,2021,Sebastián-Blanco,POR2021,AM,1312,43,20,7
154,Santiago-Moreno-2023-1,2023,Santiago-Moreno,POR2023,W,2416,39,16,3
155,Josef-Martínez-2022-1,2022,Josef-Martínez,ATL2022,ST,1637,49,21,9
156,Héctor-Herrera-2023-1,2023,Héctor-Herrera,HOU2023,CM,2733,65,24,4
157,Derrick-Etienne-2022-1,2022,Derrick-Etienne,CLB2022,W,2431,49,21,9
158,Nani-2021-1,2021,Nani,ORL2021,W,1993,65,25,10
159,Jáder-Obrian-2023-1,2023,Jáder-Obrian,FCD2023,W,2033,23,9,5
160,Evander-2023-1,2023,Evander,POR2023,AM,2309,70,28,9
161,Emiliano-Rigoni-2023-1,2023,Emiliano-Rigoni,ATX2023,W,2310,46,22,5
162,Eduard-Löwen-2023-1,2023,Eduard-Löwen,STL2023,CM,2462,75,26,6
163,Robin-Lod-2022-1,2022,Robin-Lod,MIN2022,W,2702,59,21,6
164,Yimmi-Chará-2022-1,2022,Yimmi-Chará,POR2022,W,2998,46,16,4
165,Facundo-Torres-2022-1,2022,Facundo-Torres,ORL2022,W,2798,53,14,9
166,Franco-Fragapane-2022-1,2022,Franco-Fragapane,MIN2022,W,2170,34,15,7
167,Martín-Ojeda-2023-1,2023,Martín-Ojeda,ORL2023,W,1862,64,26,6
168,Diego-Fagundez-2021-1,2021,Diego-Fagundez,ATX2021,W,2757,49,21,7
169,Leo-Chú-2023-1,2023,Leo-Chú,SEA2023,W,2113,39,16,5
170,Jaroslaw-Niezgoda-2022-1,2022,Jaroslaw-Niezgoda,POR2022,ST,2156,36,18,9
