,Team,Season,Games,ShtF,ShtA,GF,GA,Pts,TeamID
0,NER,2021,34,495,482,62,40,73,NER2021
1,CIN,2023,33,431,382,54,35,68,CIN2023
2,PHI,2022,34,450,434,70,26,67,PHI2022
3,LAFC,2022,34,532,376,65,36,67,LAFC2022
4,MTL,2022,34,425,317,61,48,65,MTL2022
5,COL,2021,34,458,417,50,34,61,COL2021
6,SEA,2021,34,427,385,53,32,60,SEA2021
7,ORL,2023,33,397,401,52,38,60,ORL2023
8,SKC,2021,34,469,398,58,40,58,SKC2021
9,STL,2023,33,444,429,59,42,56,STL2023
10,ATX,2022,34,424,442,64,48,56,ATX2022
11,PHI,2023,33,444,376,53,36,55,PHI2023
12,NYC,2022,34,482,360,56,39,55,NYC2022
13,POR,2021,34,442,520,54,51,55,POR2021
14,NSH,2021,34,454,382,54,31,54,NSH2021
15,CLB,2023,33,482,355,61,44,54,CLB2023
16,PHI,2021,34,433,391,45,32,54,PHI2021
17,FCD,2022,34,402,427,46,37,53,FCD2022
18,NYRB,2022,34,451,303,48,41,53,NYRB2022
19,NER,2023,33,401,506,53,44,52,NER2023
20,NYC,2021,34,516,323,55,35,51,NYC2021
21,LAFC,2023,33,514,342,52,37,51,LAFC2023
22,ATL,2021,34,455,447,42,37,51,ATL2021
23,ORL,2021,34,407,425,49,45,51,ORL2021
24,ATL,2023,33,427,409,62,50,50,ATL2023
25,NSH,2022,34,446,438,52,41,50,NSH2022
26,SEA,2023,33,414,347,37,30,50,SEA2023
27,LAG,2022,34,475,393,57,51,50,LAG2022
28,NSH,2023,33,374,416,38,30,49,NSH2023
29,CIN,2022,34,438,458,60,55,49,CIN2022
30,VAN,2021,34,349,494,43,43,49,VAN2021
31,MIN,2021,34,509,409,41,42,49,MIN2021
32,HOU,2023,33,378,376,48,36,48,HOU2023
33,NYRB,2021,34,495,315,39,33,48,NYRB2021
34,RSL,2021,34,455,494,54,51,48,RSL2021
35,MIN,2022,34,421,473,46,47,48,MIN2022
36,LAG,2021,34,433,487,47,52,48,LAG2021
37,MIA,2022,34,379,470,46,55,48,MIA2022
38,ORL,2022,34,408,410,42,52,48,ORL2022
39,DCU,2021,34,451,387,55,49,47,DCU2021
40,VAN,2023,33,441,392,50,46,47,VAN2023
41,RSL,2022,34,436,410,43,45,47,RSL2022
42,RSL,2023,33,488,402,47,49,47,RSL2023
43,CLB,2021,34,397,473,41,45,47,CLB2021
44,CLB,2022,34,447,388,46,39,46,CLB2022
45,MTL,2021,34,396,412,45,42,46,MTL2021
46,POR,2022,34,440,504,52,51,46,POR2022
47,LAFC,2021,34,521,356,51,51,45,LAFC2021
48,FCD,2023,33,326,427,37,32,43,FCD2023
49,SJE,2023,33,392,467,37,42,43,SJE2023
50,POR,2023,33,396,399,44,52,43,POR2023
51,COL,2022,34,448,452,46,57,43,COL2022
52,VAN,2022,34,387,476,40,57,43,VAN2022
53,NER,2022,34,437,481,47,48,42,NER2022
54,CLT,2022,34,384,445,42,51,42,CLT2022
55,SEA,2022,34,420,447,44,46,41,SEA2022
56,MIN,2023,33,458,483,42,47,41,MIN2023
57,SKC,2023,33,433,378,44,50,41,SKC2023
58,SJE,2021,34,454,516,42,51,41,SJE2021
59,MTL,2023,33,373,414,32,47,41,MTL2023
60,MIA,2021,34,326,435,35,51,41,MIA2021
61,NYRB,2023,33,457,235,34,37,40,NYRB2023
62,DCU,2023,34,458,407,44,48,40,DCU2023
63,ATL,2022,34,540,427,48,54,40,ATL2022
64,CLT,2023,33,335,404,42,50,40,CLT2023
65,CHI,2023,33,336,459,36,48,40,CHI2023
66,SKC,2022,34,415,389,40,53,40,SKC2022
67,CHI,2022,34,429,409,39,47,39,CHI2022
68,NYC,2023,33,405,359,33,38,38,NYC2023
69,ATX,2023,33,395,481,47,53,38,ATX2023
70,HOU,2022,34,390,501,43,54,36,HOU2022
71,LAG,2023,33,480,467,49,61,36,LAG2023
72,SJE,2022,34,455,481,52,69,35,SJE2022
73,MIA,2023,33,355,452,41,50,34,MIA2023
74,TOR,2022,34,372,492,48,64,34,TOR2022
75,CHI,2021,34,473,488,34,51,34,CHI2021
76,FCD,2021,34,446,490,46,55,33,FCD2021
77,ATX,2021,34,450,515,34,55,31,ATX2021
78,HOU,2021,34,426,448,34,51,30,HOU2021
79,TOR,2021,34,350,471,37,64,28,TOR2021
80,COL,2023,33,347,470,26,53,27,COL2023
81,DCU,2022,34,357,487,36,68,27,DCU2022
82,TOR,2023,33,336,482,26,55,22,TOR2023
83,CIN,2021,34,405,532,36,73,20,CIN2021
