,Season,Player,Team,Position,Minutes,Shots,SoT,G,Player_ID,Count
0,2022,Hany-Mukhtar,NSH,ST,3082,126,65,23,Hany-Mukhtar-2022-1,1
1,2022,Daniel-Gazdag,PHI,AM,3216,61,42,22,Daniel-Gazdag-2022-1,1
2,2021,Taty-Castellanos,NYC,ST,2991,132,57,19,Taty-Castellanos-2021-1,1
3,2023,Luciano-Acosta,CIN,AM,2773,80,39,16,Luciano-Acosta-2023-1,1
4,2023,Cucho-Hernández,CLB,ST,2531,152,55,15,Cucho-Hernández-2023-1,1
5,2022,Luciano-Acosta,CIN,AM,2708,62,22,10,Luciano-Acosta-2022-1,1
6,2023,Christian-Benteke,DCU,ST,3134,107,40,14,Christian-Benteke-2023-1,1
7,2023,Ryan-Gauld,VAN,AM,2794,73,26,11,Ryan-Gauld-2023-1,1
8,2023,Hany-Mukhtar,NSH,ST,3041,115,47,15,Hany-Mukhtar-2023-1,1
9,2023,Denis-Bouanga,LAFC,W,2713,132,50,19,Denis-Bouanga-2023-1,1
10,2023,Thiago-Almada,ATL,AM,2998,108,43,11,Thiago-Almada-2023-1,1
11,2023,Brian-White,VAN,ST,2711,93,44,15,Brian-White-2023-1,1
12,2021,Adam-Buksa,NER,ST,2282,111,43,16,Adam-Buksa-2021-1,1
13,2022,Cristian-Arango,LAFC,ST,2562,108,47,16,Cristian-Arango-2022-1,1
14,2021,Ola-Kamara,DCU,ST,1950,64,34,19,Ola-Kamara-2021-1,1
15,2021,Gustavo-Bou,NER,ST,2491,91,35,15,Gustavo-Bou-2021-1,1
16,2022,Brandon-Vázquez,CIN,ST,2969,82,40,18,Brandon-Vázquez-2022-1,1
17,2022,Romell-Quioto,MTL,ST,2232,76,34,15,Romell-Quioto-2022-1,1
18,2022,Jeremy-Ebobisse,SJE,ST,3174,103,46,17,Jeremy-Ebobisse-2022-1,1
19,2022,Carles-Gil,NER,AM,3181,69,25,7,Carles-Gil-2022-1,1
20,2022,Sebastián-Driussi,ATX,AM,3175,97,39,22,Sebastián-Driussi-2022-1,1
21,2022,Chicharito,LAG,ST,2811,88,38,18,Chicharito-2022-1,1
22,2021,Hany-Mukhtar,NSH,ST,2670,94,43,16,Hany-Mukhtar-2021-1,1
23,2023,Cristian-Espinoza,SJE,W,3268,61,30,12,Cristian-Espinoza-2023-1,1
24,2021,Carles-Gil,NER,AM,2490,52,19,4,Carles-Gil-2021-1,1
25,2023,Daniel-Gazdag,PHI,AM,2967,64,29,14,Daniel-Gazdag-2023-1,1
