"Date","Time","Home","HG","HxGt","HxGp","Away","AG","AxGt","AxGp","GD","xGDt","xGDp","Final","HxPts","AxPts"
"2023-10-21","20:00 CDT","SKC","3","1.43","1.43","MIN","1","0.46","0.46","2","0.98","0.98","2","2.21","0.54"
"2023-10-21","20:00 CDT","COL","0","1.76","1.76","RSL","1","0.54","0.54","-1","1.22","1.22","-1","2.39","0.41"
"2023-10-21","20:00 CDT","STL","0","0.78","0.79","SEA","1","1.03","1.03","-1","-0.25","-0.25","-2","1.13","1.56"
"2023-10-21","20:00 CDT","LAG","1","1.00","1.00","FCD","4","2.26","2.32","-3","-1.26","-1.32","-3","0.50","2.33"
"2023-10-21","20:00 CDT","VAN","1","2.04","2.04","LAFC","1","1.17","1.17","0","0.87","0.87","0","2.06","0.68"
"2023-10-21","20:00 CDT","POR","1","1.69","1.69","HOU","3","0.69","0.69","-2","1.00","1.00","-2","2.15","0.62"
"2023-10-21","20:00 CDT","SJE","1","1.36","1.39","ATX","1","0.24","0.24","0","1.12","1.15","0","2.33","0.40"
"2023-10-21","17:20 CDT","TOR","0","1.32","1.32","ORL","2","0.82","0.82","-2","0.49","0.49","-2","1.73","0.98"
"2023-10-21","17:00 CDT","NYC","1","0.87","0.87","CHI","0","1.09","1.09","1","-0.22","-0.22","1","1.17","1.51"
"2023-10-21","17:00 CDT","CLB","2","2.13","2.16","MTL","1","0.53","0.53","1","1.59","1.62","1","2.53","0.31"
"2023-10-21","17:00 CDT","CLT","1","0.72","0.72","MIA","0","0.91","1.03","1","-0.19","-0.31","1","1.17","1.49"
"2023-10-21","17:00 CDT","NSH","0","0.91","0.92","NYRB","1","1.36","1.36","-1","-0.44","-0.43","-1","0.96","1.75"
"2023-10-21","17:00 CDT","CIN","2","2.39","2.39","ATL","2","1.31","1.32","0","1.07","1.07","0","2.12","0.69"
"2023-10-21","17:00 CDT","NER","2","1.86","2.01","PHI","1","0.91","0.93","1","0.95","1.08","1","2.11","0.64"
"2023-10-18","19:00 CDT","MIA","2","1.97","1.98","CLT","2","0.95","0.95","0","1.02","1.03","0","2.13","0.67"
"2023-10-14","21:30 CDT","LAG","2","1.98","2.01","RSL","2","2.10","2.20","0","-0.12","-0.18","0","1.35","1.46"
"2023-10-14","19:30 CDT","NSH","3","2.89","2.95","NER","2","1.29","1.31","1","1.60","1.64","1","2.37","0.46"
"2023-10-14","19:30 CDT","FCD","1","0.72","0.73","COL","1","2.17","2.35","0","-1.45","-1.62","0","0.41","2.42"
"2023-10-07","21:30 CDT","SEA","0","1.03","1.04","VAN","0","0.23","0.23","0","0.80","0.81","0","1.99","0.67"
"2023-10-07","20:30 CDT","RSL","2","0.54","0.54","SKC","3","2.40","2.40","-1","-1.86","-1.86","-1","0.20","2.69"
"2023-10-07","19:30 CDT","CHI","0","1.07","1.07","CLT","2","1.14","1.14","-2","-0.07","-0.07","-2","1.19","1.46"
"2023-10-07","19:30 CDT","MIN","5","3.19","3.19","LAG","2","2.67","2.68","3","0.53","0.52","3","1.69","1.13"
"2023-10-07","19:30 CDT","HOU","5","2.41","2.47","COL","1","0.80","0.80","4","1.61","1.67","4","2.49","0.37"
"2023-10-07","19:30 CDT","ATX","1","0.61","0.61","LAFC","4","2.65","2.85","-3","-2.04","-2.24","-2","0.22","2.68"
"2023-10-07","19:30 CDT","FCD","1","1.41","1.41","SJE","1","0.70","0.70","0","0.70","0.70","0","2.02","0.75"
"2023-10-07","18:30 CDT","NYRB","3","2.24","2.26","TOR","0","0.17","0.17","3","2.06","2.08","3","2.75","0.15"
"2023-10-07","18:30 CDT","MIA","0","0.96","0.96","CIN","1","1.89","1.94","-1","-0.93","-0.98","-1","0.74","2.04"
"2023-10-07","18:30 CDT","MTL","4","2.09","2.10","POR","1","1.79","1.91","3","0.30","0.19","3","1.54","1.22"
"2023-10-07","18:30 CDT","PHI","0","0.46","0.46","NSH","0","0.66","0.66","0","-0.20","-0.20","0","1.07","1.49"
"2023-10-07","18:30 CDT","ORL","3","1.29","1.29","NER","2","0.86","0.87","1","0.43","0.42","1","1.63","1.07"
"2023-10-07","18:30 CDT","ATL","1","0.94","0.94","CLB","1","1.69","1.71","0","-0.74","-0.76","0","0.82","1.96"
"2023-10-07","18:30 CDT","DCU","2","1.58","1.64","NYC","0","1.09","1.09","2","0.49","0.55","2","1.71","1.01"
"2023-10-04","21:30 CDT","VAN","3","1.71","1.71","STL","0","0.38","0.38","3","1.33","1.33","3","2.39","0.42"
"2023-10-04","21:30 CDT","LAFC","4","3.14","3.16","MIN","1","1.71","1.72","3","1.43","1.44","4","2.29","0.55"
"2023-10-04","21:30 CDT","SEA","2","1.60","1.60","LAG","1","0.69","0.69","1","0.91","0.91","1","2.03","0.70"
"2023-10-04","19:30 CDT","NSH","0","0.55","0.55","ORL","1","0.29","0.29","-1","0.26","0.26","-1","1.53","0.99"
"2023-10-04","19:30 CDT","CHI","4","2.77","3.19","MIA","1","1.66","1.83","3","1.12","1.36","3","2.08","0.73"
"2023-10-04","19:30 CDT","ATX","3","1.38","1.39","DCU","0","1.39","1.39","3","-0.01","-0.00","3","1.37","1.34"
"2023-10-04","18:30 CDT","PHI","3","2.52","2.77","ATL","2","2.29","2.41","1","0.23","0.37","1","1.57","1.20"
"2023-10-04","18:30 CDT","MTL","1","1.60","1.60","HOU","1","1.04","1.04","0","0.56","0.56","0","1.76","0.97"
"2023-10-04","18:30 CDT","NER","1","1.16","1.16","CLB","2","1.33","1.33","-1","-0.17","-0.17","-1","1.22","1.51"
"2023-10-04","18:30 CDT","CLT","3","3.42","3.42","TOR","0","0.20","0.20","3","3.21","3.21","3","2.96","0.02"
"2023-10-04","18:30 CDT","CIN","1","1.57","1.59","NYRB","2","1.00","1.00","-1","0.57","0.59","-1","1.80","0.91"
"2023-10-01","19:00 CDT","LAFC","0","1.39","1.39","RSL","1","0.51","0.51","-1","0.88","0.88","-1","2.06","0.66"
"2023-09-30","21:30 CDT","LAG","3","0.72","0.72","POR","2","1.55","1.57","1","-0.83","-0.85","0","0.71","2.05"
"2023-09-30","21:30 CDT","VAN","2","1.87","1.87","DCU","2","1.41","1.41","0","0.46","0.46","0","1.76","0.96"
"2023-09-30","20:30 CDT","COL","1","0.51","0.51","ATX","0","0.95","1.18","1","-0.44","-0.67","1","0.95","1.66"
