"","Player","Team","Season","Position","Minutes","Shots","SoT","G","xG","xPlace","G-xG","KeyP","A","xA","A-xA","xG+xA","PA","xPA"
"","Carlos Vela","LAFC","2019","W","2985","160","71","34","29.04","2.58","4.96","91","10","12.27","-2.27","41.31","13.58","15.09"
"","Josef Martínez","ATL","2018","ST","3117","97","56","31","28.38","-0.44","2.62","32","3","5.23","-2.23","33.61","11.84","12.95"
"","Zlatan Ibrahimovic","LAG","2019","ST","2860","151","65","30","25.44","3.37","4.56","42","6","5.81","0.19","31.25","12.29","14.66"
"","Hany Mukhtar","NSH","2022","ST","3082","126","65","23","21.01","-0.08","1.99","78","6","7.44","-1.44","28.45","8.78","12.14"
"","Sebastian Giovinco","TOR","2015","ST","2957","181","73","22","17.66","4.04","4.34","62","13","10.02","2.98","27.67","9.60","10.05"
"","Robbie Keane","LAG","2014","ST","2734","121","53","18","17.92","0.54","0.08","50","7","9.00","-2.00","26.91","6.32","8.15"
"","Josef Martínez","ATL","2019","ST","2808","117","50","27","23.37","0.65","3.63","29","2","2.88","-0.88","26.25","10.82","12.10"
"","Bradley Wright-Phillips","NYRB","2014","ST","2747","109","57","27","24.66","2.70","2.34","18","0","1.49","-1.49","26.15","13.34","13.56"
"","David Villa","NYC","2016","ST","3098","166","68","23","21.73","-0.46","1.27","45","4","4.40","-0.40","26.12","11.31","11.22"
"","Miguel Almirón","ATL","2018","AM","3010","132","51","12","16.21","-1.77","-4.21","72","11","9.43","1.57","25.63","2.20","5.57"
"","Bradley Wright-Phillips","NYRB","2015","ST","3041","113","51","17","21.86","1.81","-4.86","35","4","3.72","0.28","25.58","6.50","11.27"
"","Sebastian Giovinco","TOR","2016","ST","2596","177","59","17","16.97","-0.81","0.03","49","12","8.24","3.76","25.21","8.25","10.19"
"","Cucho Hernández","CLB","2023","ST","2628","165","58","16","18.96","-3.16","-2.96","38","6","5.00","1.00","23.96","4.58","9.69"
"","Daniel Gazdag","PHI","2022","AM","3216","61","42","22","18.18","1.69","3.82","43","6","5.51","0.49","23.69","6.54","6.50"
"","David Villa","NYC","2015","ST","2706","138","64","18","17.79","1.44","0.21","51","5","5.87","-0.87","23.66","8.29","10.31"
"","Luciano Acosta","CIN","2023","AM","2876","83","40","17","14.27","2.62","2.73","93","10","9.39","0.61","23.66","11.76","10.52"
