"","Team","Season","Games","ShtF","ShtA","GF","GA","GD","xGF","xGA","xGD","GD-xGD","Pts","xPts"
"","NER","2021","34","495","482","62","40","22","55.25","45.01","10.24","11.76","73","53.52"
"","LAFC","2019","34","621","345","84","34","50","81.15","37.43","43.73","6.27","72","73.05"
"","NYRB","2018","34","456","377","61","32","29","59.43","42.56","16.86","12.14","71","58.92"
"","TOR","2017","34","441","404","71","37","34","52.92","41.61","11.31","22.69","69","54.93"
"","ATL","2018","34","511","377","67","44","23","70.90","40.05","30.85","-7.85","69","64.84"
"","CIN","2023","34","448","395","56","37","19","56.26","38.18","18.08","0.92","69","60.12"
"","PHI","2022","34","450","434","70","26","44","60.19","38.74","21.45","22.55","67","58.36"
"","LAFC","2022","34","532","376","65","36","29","61.93","36.41","25.52","3.48","67","64.14"
"","MTL","2022","34","425","317","61","48","13","51.05","35.45","15.60","-2.60","65","56.45"
"","NYC","2019","34","516","393","63","39","24","56.60","44.47","12.13","11.87","64","54.43"
"","SEA","2014","34","470","440","64","47","17","55.08","40.01","15.07","1.93","64","55.24"
"","ORL","2023","34","402","413","54","38","16","42.00","41.50","0.49","15.51","63","47.80"
"","SKC","2018","34","583","405","65","39","26","59.05","43.33","15.72","10.28","62","55.70"
"","LAG","2014","34","542","349","67","35","32","60.71","30.80","29.91","2.09","61","65.76"
"","COL","2021","34","458","417","50","34","16","44.17","39.77","4.41","11.59","61","49.58"
"","SEA","2021","34","427","385","53","32","21","46.84","35.03","11.81","9.19","60","54.96"
"","NYRB","2015","34","476","399","62","42","20","60.66","38.31","22.36","-2.36","60","61.39"
"","FCD","2015","34","399","385","51","38","13","44.47","41.02","3.45","9.55","60","48.05"
"","FCD","2016","34","451","331","49","38","11","45.81","34.44","11.37","-0.37","60","55.39"
"","NYRB","2013","34","404","453","56","39","17","46.52","46.94","-0.41","17.41","59","45.89"
"","SEA","2018","34","430","455","49","36","13","44.07","47.72","-3.66","16.66","59","44.76"
"","DCU","2014","34","366","457","48","37","11","36.42","46.92","-10.51","21.51","59","40.34"
"","SKC","2021","34","469","398","58","40","18","51.18","43.63","7.55","10.45","58","50.82"
"","SKC","2013","34","501","302","46","30","16","40.14","28.81","11.33","4.67","58","54.44"
"","ATL","2019","34","509","384","55","41","14","56.87","46.34","10.53","3.47","58","54.37"
"","COL","2016","34","435","419","39","32","7","36.36","39.47","-3.11","10.11","58","45.89"
"","POR","2013","34","445","429","53","33","20","44.48","35.12","9.36","10.64","57","52.22"
"","CLB","2023","34","503","361","63","45","18","55.99","40.28","15.72","2.28","57","57.70"
"","NYRB","2016","34","441","399","59","43","16","52.59","43.31","9.29","6.71","57","52.03"
"","LAFC","2018","34","527","429","65","52","13","58.94","47.11","11.83","1.17","57","55.40"
"","NYC","2017","34","484","421","56","43","13","52.95","41.35","11.60","1.40","57","55.21"
"","FCD","2018","34","483","441","50","43","7","51.79","44.63","7.16","-0.16","57","52.00"
"","ATX","2022","34","424","442","64","48","16","47.34","53.40","-6.06","22.06","56","42.47"
"","STL","2023","34","460","444","59","43","16","43.81","46.39","-2.58","18.58","56","44.73"
"","RSL","2013","34","449","394","56","41","15","44.93","45.11","-0.18","15.18","56","47.08"
"","RSL","2014","34","441","467","53","39","14","45.14","50.47","-5.33","19.33","56","44.64"
"","NYC","2018","34","533","420","57","44","13","55.69","43.02","12.67","0.33","56","54.86"
"","SEA","2019","34","425","474","50","47","3","50.52","52.26","-1.75","4.75","56","45.96"
"","ATL","2017","34","438","401","69","37","32","49.66","43.01","6.65","25.35","55","50.42"
"","NYC","2022","34","482","360","56","39","17","57.84","39.10","18.74","-1.74","55","56.62"
"","PHI","2023","34","455","392","54","38","16","49.25","45.33","3.92","12.08","55","48.55"
"","CHI","2017","34","419","394","59","45","14","47.44","43.91","3.53","10.47","55","48.53"
"","NER","2023","34","417","517","55","45","10","43.48","47.61","-4.13","14.13","55","44.60"
"","PHI","2019","34","475","394","57","49","8","57.93","47.10","10.83","-2.83","55","53.79"
"","NER","2014","34","468","433","49","45","4","43.70","45.17","-1.47","5.47","55","45.74"
"","POR","2021","34","442","520","54","51","3","48.19","57.79","-9.60","12.60","55","39.42"
"","NSH","2021","34","454","382","54","31","23","46.29","35.43","10.86","12.14","54","53.78"
"","PHI","2021","34","433","391","45","32","13","43.81","39.53","4.29","8.71","54","49.40"
"","FCD","2014","34","379","482","52","42","10","45.80","43.64","2.16","7.84","54","50.20"
"","NYC","2016","34","463","455","62","55","7","50.11","52.71","-2.60","9.60","54","46.62"
"","POR","2018","34","466","452","52","45","7","53.41","47.51","5.90","1.10","54","50.75"
"","CLB","2017","34","400","444","53","49","4","45.03","46.27","-1.24","5.24","54","47.21"
"","LAG","2013","34","489","326","52","38","14","54.86","28.49","26.36","-12.36","53","62.67"
"","TOR","2016","34","478","383","51","38","13","50.12","36.64","13.48","-0.48","53","56.50"
"","SEA","2017","34","500","410","51","39","12","53.09","40.71","12.38","-0.38","53","54.25"
"","POR","2017","34","480","418","59","49","10","52.72","41.62","11.10","-1.10","53","54.30"
"","VAN","2015","34","440","386","45","36","9","43.09","37.80","5.28","3.72","53","49.99"
"","FCD","2022","34","402","427","46","37","9","40.72","44.44","-3.72","12.72","53","43.99"
"","SEA","2023","34","429","363","38","30","8","45.57","32.88","12.69","-4.69","53","55.86"
"","NYRB","2022","34","451","303","48","41","7","47.71","38.10","9.61","-2.61","53","53.09"
