"","Player","Team","Season","Position","Minutes","Passes","Pass %","xPass %","Score","Per100","Distance","Vertical","Touch %","Games"
"","Jonathan dos Santos","LAG","2019","DM","2771","2117","89.5%","84.7%","101.38","4.79","19.39","4.21","13.4%","29"
"","Jon Busch","SJE","2014","GK","3308","1164","63.7%","55.8%","92.75","7.97","48.75","43.06","6.8%","34"
"","Osvaldo Alonso","SEA","2014","CM","3185","2188","90.7%","86.5%","90.71","4.15","20.46","6.45","12.6%","33"
"","Osvaldo Alonso","SEA","2016","DM","3018","2237","90.6%","87.1%","79.71","3.56","21.08","5.96","12.9%","32"
"","Diego Chara","POR","2019","DM","2908","1766","91.0%","86.6%","77.89","4.41","19.93","6.46","11.1%","30"
"","Jon Busch","SJE","2013","GK","3224","1066","57.5%","50.2%","77.52","7.27","53.65","48.56","6.5%","33"
"","Tyler Miller","DCU","2023","GK","2481","1205","73.2%","67.1%","73.69","6.12","37.64","31.21","9.2%","25"
"","Haris Medunjanin","PHI","2019","DM","3368","2723","82.5%","79.8%","73.41","2.70","21.84","8.14","13.3%","34"
"","Clint Irwin","COL","2013","GK","3109","876","59.5%","51.2%","72.17","8.24","53.51","48.48","5.5%","32"
"","Wil Trapp","CLB","2017","DM","3274","2286","89.2%","86.1%","71.76","3.14","20.94","6.42","12.1%","34"
"","Michael Bradley","TOR","2019","DM","2588","2129","88.1%","84.7%","71.56","3.36","21.04","6.09","12.3%","27"
"","Jackson Ragen","SEA","2023","CB","3152","1797","90.5%","86.7%","68.25","3.80","23.31","9.29","9.9%","32"
"","Matt Besler","SKC","2018","CB","3015","2138","87.3%","84.2%","66.96","3.13","23.76","9.46","11.1%","31"
"","David Bingham","LAG","2019","GK","3257","1022","67.9%","61.4%","66.87","6.54","44.83","38.02","5.8%","33"
"","Bastian Schweinsteiger","CHI","2019","CB","2925","1894","86.9%","83.4%","66.12","3.49","23.22","9.11","11.8%","30"
"","Boris Sekulic","CHI","2022","FB","3090","1513","81.8%","77.4%","66.02","4.36","16.98","5.45","9.2%","33"
"","Darlington Nagbe","POR","2017","W","2522","1348","92.1%","87.3%","65.09","4.83","17.58","1.87","9.8%","27"
"","Reto Ziegler","FCD","2019","CB","3202","2091","88.0%","85.0%","64.71","3.09","23.35","8.70","11.1%","32"
"","Diego Polenta","LAG","2019","CB","2764","1408","82.2%","77.7%","63.22","4.49","22.22","9.75","9.6%","28"
"","Graham Zusi","SKC","2017","FB","2288","1563","84.4%","80.4%","62.72","4.01","21.37","1.84","11.2%","24"
"","Eddie Segura","LAFC","2019","CB","3246","1990","89.5%","86.4%","62.45","3.14","20.47","7.85","9.4%","34"
"","Alejandro Bedoya","PHI","2018","DM","3009","1687","88.3%","84.6%","62.13","3.68","17.93","3.93","9.4%","33"
"","Chad Marshall","SEA","2016","CB","2816","1253","84.9%","80.0%","61.97","4.95","23.55","11.19","8.0%","30"
"","Jack Price","COL","2021","CM","2762","1818","84.2%","80.8%","61.92","3.41","23.29","5.12","11.3%","30"
"","Gregory Van der Wiel","TOR","2018","FB","2491","1448","88.3%","84.1%","61.66","4.26","19.31","4.09","8.8%","27"
"","Aidan Morris","CLB","2023","CM","2861","1900","92.2%","88.9%","61.36","3.23","17.80","1.74","11.0%","30"
"","Osvaldo Alonso","MIN","2019","DM","2587","1508","92.0%","88.0%","61.31","4.07","19.85","6.01","11.1%","27"
"","Osvaldo Alonso","SEA","2017","DM","2227","1698","90.5%","86.9%","61.26","3.61","21.40","6.01","11.4%","26"
"","Osvaldo Alonso","SEA","2015","CM","1981","1454","92.1%","87.9%","60.85","4.18","20.79","5.63","12.0%","22"
"","Michael Bradley","TOR","2018","DM","3092","2700","87.0%","84.8%","59.26","2.19","21.24","6.72","13.0%","32"
"","Bastian Schweinsteiger","CHI","2018","CB","2942","2073","85.3%","82.5%","58.82","2.84","22.30","8.13","13.2%","31"
"","Michael Bradley","TOR","2017","DM","2896","2349","87.3%","84.8%","58.41","2.49","21.30","6.24","13.4%","30"
"","Osvaldo Alonso","SEA","2018","DM","1983","1367","91.4%","87.2%","57.98","4.24","21.34","5.84","10.0%","25"
"","Darlington Nagbe","POR","2015","W","3026","1433","87.6%","83.7%","57.32","4.00","17.35","1.61","9.7%","33"
"","Júnior Moreno","DCU","2019","DM","2818","1730","88.0%","84.7%","57.25","3.31","17.59","3.72","11.1%","29"
"","Diego Chara","POR","2015","DM","2665","1445","86.3%","82.3%","57.00","3.94","21.30","7.34","10.8%","28"
"","Auro","TOR","2019","FB","2038","1373","85.7%","81.6%","56.95","4.15","17.35","2.58","10.2%","23"
"","Aníbal Godoy","SJE","2017","CM","2284","1491","90.2%","86.4%","56.65","3.80","21.88","4.92","11.2%","26"
"","Albert Rusnák","RSL","2021","W","3315","1652","83.4%","80.0%","56.51","3.42","21.41","1.80","9.4%","34"
"","Robin Jansson","ORL","2021","CB","2700","1314","88.0%","83.7%","56.43","4.29","23.23","11.65","9.1%","28"
"","Keegan Rosenberry","COL","2019","FB","3374","1540","80.0%","76.3%","56.32","3.66","19.71","7.05","10.8%","34"
"","Ashley Cole","LAG","2018","FB","2913","1378","84.8%","80.8%","56.25","4.08","18.16","3.52","9.2%","31"
"","Chad Marshall","SEA","2017","CB","2546","983","90.1%","84.4%","56.22","5.72","22.84","7.90","6.8%","28"
"","Ned Grabavoy","RSL","2013","CM","2924","1327","86.2%","82.0%","56.10","4.23","15.68","2.12","8.3%","32"
"","Steven Moreira","CLB","2023","CB","3266","2189","88.7%","86.1%","56.00","2.56","19.47","5.98","10.5%","34"
"","Remi Walter","SKC","2023","CM","3035","1442","90.6%","86.7%","55.67","3.86","20.27","2.00","7.9%","33"
"","Andreu Fontàs","SKC","2021","CB","3264","2825","89.2%","87.3%","55.45","1.96","23.20","7.15","13.5%","33"
"","Darlington Nagbe","CLB","2021","DM","3192","1689","94.1%","90.8%","55.06","3.26","19.06","1.97","9.8%","33"
"","Rudy Camacho","CLB, MTL","2023","CB","2649","1698","88.3%","85.0%","54.81","3.23","21.62","8.72","10.1%","31"
"","Alan Franco","ATL","2022","CB","2993","1930","89.7%","86.9%","54.81","2.84","21.63","7.09","10.8%","31"
"","Darlington Nagbe","ATL","2019","CM","3071","1711","92.6%","89.4%","54.64","3.19","18.23","2.13","9.1%","33"
"","Tommy Thompson","SJE","2019","FB","2477","1456","88.2%","84.4%","54.61","3.75","16.32","2.41","8.8%","30"
"","Michael Bradley","TOR","2021","DM","2945","2234","86.5%","84.1%","53.92","2.41","19.41","6.21","12.0%","32"
"","Jackson Yueill","SJE","2023","CM","3008","1845","87.8%","84.9%","53.83","2.92","18.61","6.29","11.1%","31"
"","Michael Bradley","TOR","2014","CM","2366","1720","83.0%","79.9%","53.48","3.11","23.65","7.77","13.2%","25"
"","Diego Palacios","LAFC","2022","FB","2669","1640","82.0%","78.7%","53.36","3.25","18.09","2.96","12.2%","28"
"","Mark Delgado","LAG","2022","CM","2764","1996","87.8%","85.1%","53.21","2.67","18.13","4.67","11.3%","29"
"","Joevin Jones","SEA","2016","FB","2726","1675","80.8%","77.6%","53.20","3.18","17.72","2.59","9.3%","33"
"","Joel Waterman","MTL","2022","CB","2947","1951","88.4%","85.7%","53.04","2.72","21.84","8.10","11.2%","30"
"","Juninho","LAG","2014","CM","2944","2231","89.1%","86.7%","52.99","2.38","20.68","4.15","11.4%","34"
"","Nat Borchers","POR","2015","CB","3001","954","86.1%","80.5%","52.98","5.55","25.63","9.79","7.0%","31"
"","Darlington Nagbe","POR","2016","W","2618","1260","88.6%","84.5%","52.89","4.20","17.63","1.99","10.3%","27"
"","Graham Zusi","SKC","2018","FB","3363","2524","80.8%","78.7%","52.23","2.07","21.57","4.06","12.7%","34"
"","Michael Parkhurst","CLB","2015","CB","3118","1644","85.6%","82.5%","52.12","3.17","26.05","10.39","9.7%","33"
"","Ryan Gauld","VAN","2023","ST","2896","1248","75.5%","71.3%","51.97","4.16","20.60","3.81","8.3%","32"
"","Darlington Nagbe","CLB","2023","CM","3106","1592","93.5%","90.2%","51.79","3.25","16.28","1.85","8.0%","34"
"","Andrew Farrell","NER","2021","CB","3247","1676","85.4%","82.3%","51.60","3.08","25.45","12.47","9.7%","33"
"","Ilie Sánchez","SKC","2021","CB","2761","2173","88.5%","86.2%","51.56","2.37","25.19","8.75","11.4%","30"
"","Joel Waterman","MTL","2023","CB","2599","1711","86.2%","83.1%","51.48","3.01","24.48","9.90","12.0%","28"
"","Sebastian Lletget","LAG","2019","CM","2519","1442","87.4%","83.9%","50.91","3.53","17.03","0.88","9.2%","29"
"","Alexander Callens","NYC","2017","CB","3300","1960","85.9%","83.3%","50.85","2.59","22.90","9.03","10.3%","34"
"","Rudy Camacho","MTL","2022","CB","2746","1815","88.2%","85.4%","50.83","2.80","21.60","9.43","11.0%","28"
"","Nick Rimando","RSL","2019","GK","2851","1003","72.2%","67.1%","50.80","5.06","39.50","32.21","6.3%","29"
"","Aníbal Godoy","NSH","2021","DM","2191","1273","91.4%","87.5%","50.43","3.96","20.09","2.66","10.0%","26"
"","Cristian Roldan","SEA","2017","DM","3168","1953","82.3%","79.7%","50.30","2.58","19.79","6.45","11.0%","33"
"","Wil Trapp","CLB","2018","DM","2849","2091","88.5%","86.1%","50.11","2.40","22.03","7.30","12.0%","30"
"","Kamal Miller","MTL","2021","CB","2616","1631","87.5%","84.4%","49.89","3.06","20.22","8.56","10.8%","27"
"","Brooks Lennon","ATL","2023","FB","3236","1901","82.4%","79.8%","49.85","2.62","19.54","-0.44","10.3%","33"
"","Dave Romney","NSH","2021","CB","3237","1615","84.5%","81.4%","49.81","3.08","24.07","9.09","9.9%","33"
"","Diego Chara","POR","2018","DM","2627","1352","88.2%","84.5%","49.69","3.68","19.13","4.80","10.7%","27"
"","Héctor Herrera","HOU","2023","CM","2833","2243","82.8%","80.6%","49.50","2.21","20.35","5.50","14.1%","30"
"","Matt Hedges","FCD","2019","CB","3201","1946","87.7%","85.1%","49.13","2.52","23.08","9.32","10.4%","33"
"","Reggie Cannon","FCD","2018","FB","3200","1505","84.0%","80.8%","49.04","3.26","16.76","2.04","9.4%","33"
"","Andreu Fontàs","SKC","2023","CB","2648","1942","89.4%","86.9%","48.84","2.52","23.48","8.04","11.9%","28"
"","Jonathan Osorio","TOR","2018","CM","2812","1542","89.1%","85.9%","48.78","3.16","16.24","1.22","9.2%","30"
"","Julian Araujo","LAG","2022","FB","3021","1828","83.1%","80.4%","48.67","2.66","18.08","1.96","9.8%","33"
"","Diego Chara","POR","2013","DM","2964","1631","85.8%","82.9%","48.57","2.98","18.91","5.92","10.4%","31"
"","Brooks Lennon","ATL","2021","FB","2891","1628","81.5%","78.5%","48.47","2.98","19.65","-0.57","8.7%","32"
"","Alexander Callens","NYC","2018","CB","2977","2110","86.7%","84.4%","48.01","2.28","21.04","7.33","10.6%","31"
"","César Araujo","ORL","2022","DM","2702","1486","89.8%","86.6%","47.99","3.23","19.46","4.27","9.8%","31"
"","Jonathan Mensah","CLB","2022","CB","2847","1671","88.7%","85.8%","47.85","2.86","22.17","7.90","10.2%","30"
"","Andre Blake","PHI","2018","GK","3217","991","69.1%","64.3%","47.54","4.80","42.06","35.01","5.5%","33"
"","Júnior Moreno","CIN","2023","CM","2467","1117","90.4%","86.2%","47.13","4.22","18.11","3.35","7.8%","29"
"","Jonathan Osorio","TOR","2020","DM","1531","1068","90.1%","85.7%","46.95","4.40","16.20","3.02","10.4%","17"
"","Alexander Callens","NYC","2022","CB","2685","1622","88.1%","85.2%","46.90","2.89","19.95","6.87","10.2%","27"
"","Josh Williams","CLB","2017","CB","1953","983","87.6%","82.9%","46.28","4.71","21.90","9.83","8.5%","22"
"","Connor Ronan","COL","2023","CM","3101","1998","81.7%","79.4%","46.19","2.31","22.92","5.73","12.0%","34"
"","Nicolás Lodeiro","SEA","2022","AM","2527","1942","79.6%","77.2%","46.15","2.38","19.15","4.54","12.2%","28"
"","Gastón Brugman","LAG","2023","DM","2102","1582","87.9%","85.0%","46.04","2.91","19.22","6.33","12.4%","22"
"","Jordan Harvey","LAFC","2019","FB","2560","1457","86.6%","83.4%","45.69","3.14","17.22","2.42","7.9%","30"
"","Albert Rusnák","SEA","2022","DM","2825","1687","85.7%","83.0%","45.57","2.70","20.05","4.47","9.1%","32"
"","Javier Morales","RSL","2015","CM","2303","1780","80.7%","78.2%","45.39","2.55","18.86","4.02","13.7%","26"
"","Michael Boxall","MIN","2023","CB","3134","1429","88.0%","84.8%","45.28","3.17","21.45","8.15","9.4%","32"
"","Rudy Camacho","MTL","2021","CB","3016","1753","88.3%","85.7%","44.82","2.56","21.53","8.88","10.3%","31"
"","Wil Trapp","MIN","2021","DM","2971","1718","86.5%","83.9%","44.71","2.60","19.96","6.04","10.2%","31"
"","Darlington Nagbe","CLB","2022","DM","3358","1734","92.6%","90.0%","44.70","2.58","18.35","1.94","9.4%","34"
"","Robin Lod","MIN","2022","W","2702","955","85.9%","81.2%","44.51","4.66","16.54","3.82","7.9%","30"
"","Gustav Svensson","SEA","2017","CB","2828","1496","86.1%","83.1%","44.34","2.96","21.45","7.03","8.6%","32"
"","Aníbal Godoy","SJE","2016","CM","2088","1217","87.8%","84.2%","44.01","3.62","21.03","5.07","11.2%","23"
"","Chris Tierney","NER","2015","FB","2812","1755","70.4%","67.9%","44.00","2.51","22.90","6.73","11.1%","31"
"","Sebastian Lletget","LAG","2021","W","1995","1087","86.0%","82.0%","43.69","4.02","17.70","1.34","7.3%","26"
"","Juninho","LAG","2013","CM","2970","1873","83.1%","80.8%","43.18","2.31","23.25","6.24","11.4%","32"
"","Cristian Roldan","SEA","2019","DM","2782","1642","84.6%","82.0%","42.86","2.61","20.20","4.70","10.9%","29"
"","Thiago Martins","NYC","2023","CB","2458","1677","90.0%","87.5%","42.83","2.55","22.83","6.72","11.0%","26"
"","Matt Polster","NER","2021","DM","2466","1442","89.9%","87.0%","42.77","2.97","20.76","3.95","9.3%","30"
"","Frédéric Brillant","NYC","2016","CB","3011","1618","83.3%","80.7%","42.62","2.63","24.40","10.33","10.3%","31"
"","D.J. Taylor","MIN","2022","FB","2275","1175","75.7%","72.0%","42.54","3.62","20.22","7.63","9.5%","26"
"","Keaton Parks","NYC","2021","DM","2645","1502","85.7%","82.9%","42.47","2.83","17.81","4.66","9.2%","31"
"","Matt Hedges","FCD","2018","CB","3214","1547","84.8%","82.1%","42.41","2.74","24.45","10.11","9.6%","33"
