,Date,Home_team_ID,HG,Away_team_ID,AG,Year
0,2023-10-21,SKC2023,3,MIN2023,1,2023
1,2023-10-21,COL2023,0,RSL2023,1,2023
2,2023-10-21,STL2023,0,SEA2023,1,2023
3,2023-10-21,LAG2023,1,FCD2023,4,2023
4,2023-10-21,VAN2023,1,LAFC2023,1,2023
5,2023-10-21,POR2023,1,HOU2023,3,2023
6,2023-10-21,SJE2023,1,ATX2023,1,2023
7,2023-10-21,TOR2023,0,ORL2023,2,2023
8,2023-10-21,NYC2023,1,CHI2023,0,2023
9,2023-10-21,CLB2023,2,MTL2023,1,2023
10,2023-10-21,CLT2023,1,MIA2023,0,2023
11,2023-10-21,NSH2023,0,NYRB2023,1,2023
12,2023-10-21,CIN2023,2,ATL2023,2,2023
13,2023-10-21,NER2023,2,PHI2023,1,2023
14,2023-10-18,MIA2023,2,CLT2023,2,2023
15,2023-10-14,LAG2023,2,RSL2023,2,2023
16,2023-10-14,NSH2023,3,NER2023,2,2023
17,2023-10-14,FCD2023,1,COL2023,1,2023
18,2023-10-07,SEA2023,0,VAN2023,0,2023
19,2023-10-07,RSL2023,2,SKC2023,3,2023
20,2023-10-07,CHI2023,0,CLT2023,2,2023
21,2023-10-07,MIN2023,5,LAG2023,2,2023
22,2023-10-07,HOU2023,5,COL2023,1,2023
23,2023-10-07,ATX2023,1,LAFC2023,4,2023
24,2023-10-07,FCD2023,1,SJE2023,1,2023
25,2023-10-07,NYRB2023,3,TOR2023,0,2023
26,2023-10-07,MIA2023,0,CIN2023,1,2023
27,2023-10-07,MTL2023,4,POR2023,1,2023
28,2023-10-07,PHI2023,0,NSH2023,0,2023
29,2023-10-07,ORL2023,3,NER2023,2,2023
30,2023-10-07,ATL2023,1,CLB2023,1,2023
31,2023-10-07,DCU2023,2,NYC2023,0,2023
32,2023-10-04,VAN2023,3,STL2023,0,2023
33,2023-10-04,LAFC2023,4,MIN2023,1,2023
34,2023-10-04,SEA2023,2,LAG2023,1,2023
35,2023-10-04,NSH2023,0,ORL2023,1,2023
