,Player_ID,Season,Player,TeamID,Minutes,Shots Faced,Goals Conceded,Saves
0,Đorđe-Petrović-2022-1,2022,Đorđe-Petrović,NER2022,2065,111,26,84
1,Tim-Melia-2017-1,2017,Tim-Melia,SKC2017,2994,116,23,91
2,Andre-Blake-2022-1,2022,Andre-Blake,PHI2022,3394,130,26,100
3,Bill-Hamid-2014-1,2014,Bill-Hamid,DCU2014,2921,146,34,110
4,Matt-Turner-2019-1,2019,Matt-Turner,NER2019,1938,116,27,87
5,Matt-Turner-2020-1,2020,Matt-Turner,NER2020,2163,90,22,68
6,Roman-Bürki-2023-1,2023,Roman-Bürki,STL2023,3296,165,40,123
7,Stefan-Frei-2018-1,2018,Stefan-Frei,SEA2018,3241,150,33,114
8,Luis-Robles-2013-1,2013,Luis-Robles,NYRB2013,3320,147,39,103
9,Steve-Clark-2019-1,2019,Steve-Clark,POR2019,2410,109,24,84
10,Andre-Blake-2021-1,2021,Andre-Blake,PHI2021,2585,98,22,76
11,Nick-Rimando-2015-1,2015,Nick-Rimando,RSL2015,2343,93,23,66
12,Nick-Rimando-2013-1,2013,Nick-Rimando,RSL2013,2626,112,28,82
13,Matt-Turner-2021-1,2021,Matt-Turner,NER2021,2752,138,34,101
14,David-Ousted-2015-1,2015,David-Ousted,VAN2015,3313,138,36,99
15,Steve-Clark-2014-1,2014,Steve-Clark,CLB2014,3304,153,40,111
16,Daniel-2023-1,2023,Daniel,SJE2023,2168,114,28,84
17,Stefan-Frei-2015-1,2015,Stefan-Frei,SEA2015,2952,144,33,111
18,Aljaz-Ivacic-2022-1,2022,Aljaz-Ivacic,POR2022,3208,163,48,112
19,Nick-Rimando-2014-1,2014,Nick-Rimando,RSL2014,2344,97,25,71
20,Evan-Bush-2018-1,2018,Evan-Bush,MTL2018,3321,184,50,132
21,JT-Marcinkowski-2021-1,2021,JT-Marcinkowski,SJE2021,3292,186,50,129
22,Donovan-Ricketts-2013-1,2013,Donovan-Ricketts,POR2013,3126,126,31,92
23,Bill-Hamid-2015-1,2015,Bill-Hamid,DCU2015,2421,133,29,101
24,Maxime-Crépeau-2021-1,2021,Maxime-Crépeau,VAN2021,2684,126,29,97
25,Jeff-Attinella-2014-1,2014,Jeff-Attinella,RSL2014,981,60,14,45
26,Bobby-Shuttleworth-2014-1,2014,Bobby-Shuttleworth,NER2014,3110,141,39,94
27,Đorđe-Petrović-2023-1,2023,Đorđe-Petrović,NER2023,2186,126,26,98
28,Tim-Melia-2015-1,2015,Tim-Melia,SKC2015,2233,113,28,82
29,Tyler-Deric-2016-1,2016,Tyler-Deric,HOU2016,827,37,6,31
30,Matt-Turner-2018-1,2018,Matt-Turner,NER2018,2642,126,40,83
31,Luis-Robles-2018-1,2018,Luis-Robles,NYRB2018,3046,115,29,84
32,Brad-Stuver-2022-1,2022,Brad-Stuver,ATX2022,3004,140,41,98
33,Sean-Johnson-2014-1,2014,Sean-Johnson,CHI2014,3211,149,48,96
34,Stefan-Frei-2019-1,2019,Stefan-Frei,SEA2019,3371,165,47,116
35,Sean-Johnson-2020-1,2020,Sean-Johnson,NYC2020,2287,107,25,81
36,Tally-Hall-2013-1,2013,Tally-Hall,HOU2013,3306,141,39,95
37,Jon-Busch-2014-1,2014,Jon-Busch,SJE2014,3308,191,49,137
