,Player_ID,Season,Player,TeamID,Position,Minutes,Shots,SoT,G
0,Carlos-Vela-2019-1,2019,Carlos-Vela,LAFC2019,W,2985,160,71,34
1,Josef-Martínez-2018-1,2018,Josef-Martínez,ATL2018,ST,3117,97,56,31
2,Zlatan-Ibrahimovic-2019-1,2019,Zlatan-Ibrahimovic,LAG2019,ST,2860,151,65,30
3,Hany-Mukhtar-2022-1,2022,Hany-Mukhtar,NSH2022,ST,3082,126,65,23
4,Sebastian-Giovinco-2015-1,2015,Sebastian-Giovinco,TOR2015,ST,2957,181,73,22
5,Robbie-Keane-2014-1,2014,Robbie-Keane,LAG2014,ST,2734,121,53,18
6,Josef-Martínez-2019-1,2019,Josef-Martínez,ATL2019,ST,2808,117,50,27
7,Bradley-Wright-Phillips-2014-1,2014,Bradley-Wright-Phillips,NYRB2014,ST,2747,109,57,27
8,David-Villa-2016-1,2016,David-Villa,NYC2016,ST,3098,166,68,23
9,Miguel-Almirón-2018-1,2018,Miguel-Almirón,ATL2018,AM,3010,132,51,12
10,Bradley-Wright-Phillips-2015-1,2015,Bradley-Wright-Phillips,NYRB2015,ST,3041,113,51,17
11,Sebastian-Giovinco-2016-1,2016,Sebastian-Giovinco,TOR2016,ST,2596,177,59,17
12,Cucho-Hernández-2023-1,2023,Cucho-Hernández,CLB2023,ST,2628,165,58,16
13,Daniel-Gazdag-2022-1,2022,Daniel-Gazdag,PHI2022,AM,3216,61,42,22
14,David-Villa-2015-1,2015,David-Villa,NYC2015,ST,2706,138,64,18
15,Luciano-Acosta-2023-1,2023,Luciano-Acosta,CIN2023,AM,2876,83,40,17
16,Ryan-Gauld-2023-1,2023,Ryan-Gauld,VAN2023,ST,2896,76,27,11
17,Taty-Castellanos-2021-1,2021,Taty-Castellanos,NYC2021,ST,2991,132,57,19
18,Kei-Kamara-2015-1,2015,Kei-Kamara,CLB2015,ST,2951,135,57,22
19,David-Villa-2017-1,2017,David-Villa,NYC2017,ST,2738,136,55,22
20,Nemanja-Nikolic-2017-1,2017,Nemanja-Nikolic,CHI2017,ST,3132,118,59,24
21,Mike-Magee-2013-1,2013,Mike-Magee,,ST,2992,114,50,21
22,Gyasi-Zardes-2018-1,2018,Gyasi-Zardes,CLB2018,ST,3195,88,40,19
23,Bradley-Wright-Phillips-2016-1,2016,Bradley-Wright-Phillips,NYRB2016,ST,2963,103,56,24
24,Obafemi-Martins-2014-1,2014,Obafemi-Martins,SEA2014,ST,2782,77,36,17
25,Sebastian-Giovinco-2018-1,2018,Sebastian-Giovinco,TOR2018,ST,2591,167,51,13
26,Luciano-Acosta-2022-1,2022,Luciano-Acosta,CIN2022,AM,2708,62,22,10
27,Alberth-Elis-2018-1,2018,Alberth-Elis,HOU2018,W,2639,101,44,11
28,Hany-Mukhtar-2023-1,2023,Hany-Mukhtar,NSH2023,ST,3147,117,49,15
29,Christian-Benteke-2023-1,2023,Christian-Benteke,DCU2023,ST,3134,107,40,14
30,Denis-Bouanga-2023-1,2023,Denis-Bouanga,LAFC2023,W,2815,137,54,20
31,Fanendo-Adi-2016-1,2016,Fanendo-Adi,POR2016,ST,2876,88,37,16
32,Diego-Valeri-2018-1,2018,Diego-Valeri,POR2018,AM,2999,86,29,10
33,Carlos-Vela-2018-1,2018,Carlos-Vela,LAFC2018,W,2611,97,44,14
34,Diego-Valeri-2017-1,2017,Diego-Valeri,POR2017,AM,3061,93,39,21
35,Ignacio-Piatti-2016-1,2016,Ignacio-Piatti,MTL2016,W,3037,95,42,17
36,Pedro-Morales-2014-1,2014,Pedro-Morales,VAN2014,AM,2747,105,39,10
37,Robbie-Keane-2013-1,2013,Robbie-Keane,LAG2013,ST,2116,65,29,16
38,Thiago-Almada-2023-1,2023,Thiago-Almada,ATL2023,AM,3052,109,43,11
39,Dom-Dwyer-2014-1,2014,Dom-Dwyer,SKC2014,ST,2936,113,48,22
40,Ignacio-Piatti-2018-1,2018,Ignacio-Piatti,MTL2018,W,3041,95,32,16
41,Brian-White-2023-1,2023,Brian-White,VAN2023,ST,2804,95,44,15
42,Diego-Rossi-2019-1,2019,Diego-Rossi,LAFC2019,W,3138,108,49,16
43,Bradley-Wright-Phillips-2018-1,2018,Bradley-Wright-Phillips,NYRB2018,ST,2756,82,37,20
44,Maximiliano-Morález-2019-1,2019,Maximiliano-Morález,NYC2019,W,2704,51,25,7
45,Mauro-Manotas-2019-1,2019,Mauro-Manotas,HOU2019,ST,2763,92,30,13
46,Landon-Donovan-2014-1,2014,Landon-Donovan,LAG2014,W,2910,66,24,10
47,Joao-Plata-2017-1,2017,Joao-Plata,RSL2017,W,2468,95,30,7
48,Federico-Higuaín-2013-1,2013,Federico-Higuaín,CLB2013,ST,2786,86,31,11
49,Ola-Kamara-2017-1,2017,Ola-Kamara,CLB2017,ST,3068,89,39,18
50,Diego-Valeri-2016-1,2016,Diego-Valeri,POR2016,AM,2830,112,38,14
51,Diego-Valeri-2019-1,2019,Diego-Valeri,POR2019,AM,2864,83,32,8
52,Clint-Dempsey-2014-1,2014,Clint-Dempsey,SEA2014,ST,2299,113,47,15
53,Zlatan-Ibrahimovic-2018-1,2018,Zlatan-Ibrahimovic,LAG2018,ST,2333,116,48,22
54,Mauro-Manotas-2018-1,2018,Mauro-Manotas,HOU2018,ST,2891,95,43,19
55,Adam-Buksa-2021-1,2021,Adam-Buksa,NER2021,ST,2282,111,43,16
56,Cristian-Arango-2022-1,2022,Cristian-Arango,LAFC2022,ST,2562,108,47,16
57,Ola-Kamara-2021-1,2021,Ola-Kamara,DCU2021,ST,1950,64,34,19
58,Kei-Kamara-2019-1,2019,Kei-Kamara,COL2019,ST,2788,94,44,14
59,Darwin-Quintero-2019-1,2019,Darwin-Quintero,MIN2019,AM,2371,81,27,10
60,Carles-Gil-2019-1,2019,Carles-Gil,NER2019,CM,3343,67,24,10
61,Ola-Kamara-2016-1,2016,Ola-Kamara,CLB2016,ST,2015,80,38,16
62,Gustavo-Bou-2021-1,2021,Gustavo-Bou,NER2021,ST,2491,91,35,15
63,Brandon-Vázquez-2022-1,2022,Brandon-Vázquez,CIN2022,ST,2969,82,40,18
64,Daniel-Royer-2019-1,2019,Daniel-Royer,NYRB2019,W,2528,85,38,11
65,Thierry-Henry-2013-1,2013,Thierry-Henry,NYRB2013,ST,2734,92,29,10
66,Fredy-Montero-2017-1,2017,Fredy-Montero,VAN2017,ST,2633,86,35,13
67,Dom-Dwyer-2016-1,2016,Dom-Dwyer,SKC2016,ST,3056,119,44,16
68,Romell-Quioto-2022-1,2022,Romell-Quioto,MTL2022,ST,2232,76,34,15
69,Diego-Valeri-2014-1,2014,Diego-Valeri,POR2014,AM,2933,99,39,10
70,Robbie-Keane-2015-1,2015,Robbie-Keane,LAG2015,ST,2217,73,39,20
71,C.J.-Sapong-2017-1,2017,C.J.-Sapong,PHI2017,ST,3020,67,34,16
72,Jeremy-Ebobisse-2022-1,2022,Jeremy-Ebobisse,SJE2022,ST,3174,103,46,17
73,Darwin-Quintero-2018-1,2018,Darwin-Quintero,MIN2018,AM,2617,78,32,11
74,Carles-Gil-2022-1,2022,Carles-Gil,NER2022,AM,3181,69,25,7
75,Sebastián-Driussi-2022-1,2022,Sebastián-Driussi,ATX2022,AM,3175,97,39,22
76,Sacha-Kljestan-2015-1,2015,Sacha-Kljestan,NYRB2015,AM,3035,58,22,8
77,Maximiliano-Morález-2018-1,2018,Maximiliano-Morález,NYC2018,AM,3029,72,26,8
78,Chicharito-2022-1,2022,Chicharito,LAG2022,ST,2811,88,38,18
79,Thierry-Henry-2014-1,2014,Thierry-Henry,NYRB2014,ST,2848,86,28,10
80,David-Villa-2018-1,2018,David-Villa,NYC2018,ST,1871,100,42,14
81,Cristian-Espinoza-2023-1,2023,Cristian-Espinoza,SJE2023,W,3368,63,31,13
82,Camilo-Sanvezzo-2013-1,2013,Camilo-Sanvezzo,VAN2013,W,2586,123,55,22
83,Federico-Higuaín-2014-1,2014,Federico-Higuaín,CLB2014,AM,2674,73,25,11
84,Daniel-Gazdag-2023-1,2023,Daniel-Gazdag,PHI2023,AM,3064,65,29,14
85,Ola-Kamara-2018-1,2018,Ola-Kamara,LAG2018,ST,2924,67,31,14
86,Will-Bruin-2013-1,2013,Will-Bruin,HOU2013,ST,2777,98,30,8
87,Hany-Mukhtar-2021-1,2021,Hany-Mukhtar,NSH2021,ST,2670,94,43,16
88,Carles-Gil-2021-1,2021,Carles-Gil,NER2021,AM,2490,52,19,4
89,Alejandro-Pozuelo-2019-1,2019,Alejandro-Pozuelo,TOR2019,AM,2734,76,31,12
90,Wayne-Rooney-2019-1,2019,Wayne-Rooney,DCU2019,ST,2539,84,27,11
91,Bradley-Wright-Phillips-2017-1,2017,Bradley-Wright-Phillips,NYRB2017,ST,2740,83,36,17
92,Diego-Rubio-2022-1,2022,Diego-Rubio,COL2022,AM,2670,93,39,16
93,Fanendo-Adi-2015-1,2015,Fanendo-Adi,POR2015,ST,2312,85,36,16
94,Kei-Kamara-2016-1,2016,Kei-Kamara,,ST,2861,106,37,12
95,Alberth-Elis-2019-1,2019,Alberth-Elis,HOU2019,W,2135,83,33,9
96,Jordan-Morris-2016-1,2016,Jordan-Morris,SEA2016,ST,3037,71,36,12
97,Chris-Wondolowski-2016-1,2016,Chris-Wondolowski,SJE2016,ST,2909,78,31,12
98,Clint-Dempsey-2017-1,2017,Clint-Dempsey,SEA2017,AM,2439,116,39,12
99,Kei-Kamara-2018-1,2018,Kei-Kamara,VAN2018,ST,2378,88,34,14
100,Sebastián-Blanco-2019-1,2019,Sebastián-Blanco,POR2019,W,2772,106,32,6
101,Taty-Castellanos-2022-1,2022,Taty-Castellanos,NYC2022,ST,1653,81,33,13
102,Javier-Morales-2014-1,2014,Javier-Morales,RSL2014,AM,2856,64,19,9
103,Carlos-Vela-2022-1,2022,Carlos-Vela,LAFC2022,W,2528,61,26,12
104,Carles-Gil-2023-1,2023,Carles-Gil,NER2023,AM,2886,77,31,11
105,Nemanja-Nikolic-2019-1,2019,Nemanja-Nikolic,CHI2019,ST,2143,48,22,12
106,Chris-Wondolowski-2015-1,2015,Chris-Wondolowski,SJE2015,ST,2902,91,39,16
107,Bongokuhle-Hlongwane-2023-1,2023,Bongokuhle-Hlongwane,MIN2023,W,2716,85,36,8
108,Diego-Fagundez-2018-1,2018,Diego-Fagundez,NER2018,AM,2866,68,30,9
109,Jozy-Altidore-2017-1,2017,Jozy-Altidore,TOR2017,ST,2319,68,30,15
110,Dániel-Sallói-2021-1,2021,Dániel-Sallói,SKC2021,W,2682,86,38,16
111,Deshorn-Brown-2014-1,2014,Deshorn-Brown,COL2014,ST,2447,121,46,10
112,Julián-Carranza-2022-1,2022,Julián-Carranza,PHI2022,ST,2379,90,36,14
113,Gyasi-Zardes-2019-1,2019,Gyasi-Zardes,CLB2019,ST,2707,62,26,13
114,Nicolás-Lodeiro-2017-1,2017,Nicolás-Lodeiro,SEA2017,W,3173,67,19,7
115,Nani-2019-1,2019,Nani,ORL2019,W,2499,64,26,12
