,Player_ID,Season,Base Salary,Guaranteed Compensation
0,Lionel-Messi-2023-1,2023,12000000,20446668
1,Lorenzo-Insigne-2023-1,2023,7500000,15400000
2,Lorenzo-Insigne-2022-1,2022,14000000,14000000
3,Xherdan-Shaqiri-2022-1,2022,7350000,8153000
5,Xherdan-Shaqiri-2023-1,2023,7350000,8153000
8,Chicharito-2022-1,2022,6000000,7443750
9,Chicharito-2023-1,2023,6000000,7443750
11,Zlatan-Ibrahimovic-2019-1,2019,7200000,7200000
14,Kaká-2015-1,2015,6660000,7167500
16,Kaká-2016-1,2016,6660000,7167500
18,Kaká-2017-1,2017,6660000,7167500
20,Sebastian-Giovinco-2015-1,2015,5600000,7115556
22,Sebastian-Giovinco-2016-1,2016,5600000,7115556
24,Sebastian-Giovinco-2017-1,2017,5600000,7115556
26,Sebastian-Giovinco-2018-1,2018,5600000,7115556
28,Clint-Dempsey-2014-1,2014,4913004,6695189
30,Michael-Bradley-2014-1,2014,6000000,6500000
32,Michael-Bradley-2015-1,2015,6000000,6500000
34,Michael-Bradley-2016-1,2016,6000000,6500000
36,Michael-Bradley-2017-1,2017,6000000,6500000
38,Michael-Bradley-2018-1,2018,6000000,6500000
40,Michael-Bradley-2019-1,2019,6000000,6500000
42,Steven-Gerrard-2015-1,2015,6200004,6332504
44,Jozy-Altidore-2019-1,2019,4891250,6332250
46,Carlos-Vela-2019-1,2019,4500000,6300000
48,Carlos-Vela-2020-1,2020,4500000,6300000
49,Carlos-Vela-2021-1,2021,4500000,6300000
51,Federico-Bernardeschi-2023-1,2023,3125000,6295381
53,Carlos-Vela-2018-1,2018,4500000,6292500
55,Federico-Bernardeschi-2022-1,2022,3125000,6256322
56,Jermain-Defoe-2014-1,2014,6000000,6180000
58,Steven-Gerrard-2016-1,2016,6000000,6132500
60,Bastian-Schweinsteiger-2018-1,2018,6100000,6100000
62,Sebastián-Driussi-2023-1,2023,3800000,6022500
64,Frank-Lampard-2015-1,2015,6000000,6000000
66,Frank-Lampard-2016-1,2016,6000000,6000000
68,Chicharito-2020-1,2020,6000000,6000000
69,Chicharito-2021-1,2021,6000000,6000000
72,Giovani-dos-Santos-2018-1,2018,4250000,6000000
74,Andrea-Pirlo-2016-1,2016,5600000,5915690
76,Andrea-Pirlo-2017-1,2017,5600000,5915690
78,Gonzalo-Higuaín-2021-1,2021,5100000,5793750
80,Gonzalo-Higuaín-2022-1,2022,5100000,5793750
82,Giovani-dos-Santos-2015-1,2015,4000008,5750008
83,David-Villa-2015-1,2015,5610000,5610000
85,David-Villa-2016-1,2016,5610000,5610000
87,David-Villa-2017-1,2017,5610000,5610000
89,David-Villa-2018-1,2018,5610000,5610000
91,Bastian-Schweinsteiger-2019-1,2019,5600000,5600000
93,Giovani-dos-Santos-2017-1,2017,3750000,5500000
95,Bastian-Schweinsteiger-2017-1,2017,5400000,5400000
97,Héctor-Herrera-2022-1,2022,4750000,5246875
98,Héctor-Herrera-2023-1,2023,4750000,5246875
100,Clint-Dempsey-2013-1,2013,4913004,5038567
102,Jozy-Altidore-2018-1,2018,5000000,5000000
104,Jozy-Altidore-2017-1,2017,4875000,4875000
106,Jozy-Altidore-2016-1,2016,4825000,4825000
108,Jozy-Altidore-2015-1,2015,4750000,4750000
110,Ignacio-Piatti-2018-1,2018,500000,4713334
112,Alejandro-Pozuelo-2020-1,2020,3800000,4693000
113,Alejandro-Pozuelo-2021-1,2021,3800000,4693000
117,Clint-Dempsey-2015-1,2015,3913008,4605942
119,Clint-Dempsey-2016-1,2016,3913008,4605942
121,Landon-Donovan-2014-1,2014,4250000,4583334
123,Douglas-Costa-2022-1,2022,3000000,4508333
124,Douglas-Costa-2023-1,2023,3000000,4508333
126,Robbie-Keane-2014-1,2014,4500000,4500000
128,Robbie-Keane-2015-1,2015,4500000,4500000
130,Luiz-Araújo-2023-1,2023,3600000,4483333
131,Luiz-Araújo-2022-1,2022,3600000,4480333
132,Ignacio-Piatti-2019-1,2019,530000,4443334
134,Christian-Benteke-2023-1,2023,4250000,4432778
136,Josef-Martínez-2023-1,2023,4000000,4391667
138,Carlos-Vela-2023-1,2023,3000000,4383900
139,Thierry-Henry-2013-1,2013,3750000,4350000
142,Thierry-Henry-2014-1,2014,3750000,4350000
144,Robbie-Keane-2013-1,2013,4000000,4333334
147,Jozy-Altidore-2022-1,2022,3706139,4264963
149,Giovani-dos-Santos-2016-1,2016,2500000,4250000
151,Christian-Benteke-2022-1,2022,4000000,4182778
152,Josef-Martínez-2022-1,2022,3750000,4141667
155,Carlos-Vela-2022-1,2022,2250000,4050000
156,Luiz-Araújo-2021-1,2021,3600000,3941667
158,Clint-Dempsey-2017-1,2017,3200000,3892934
160,Josef-Martínez-2021-1,2021,3500000,3891667
162,Alejandro-Pozuelo-2019-1,2019,3800000,3800000
164,Lucas-Zelarayán-2023-1,2023,3200000,3800000
165,Lucas-Zelarayán-2022-1,2022,3100000,3700000
167,Tim-Cahill-2013-1,2013,3500000,3625000
170,Tim-Cahill-2014-1,2014,3500000,3625000
172,Jozy-Altidore-2020-1,2020,2161250,3602250
173,Jozy-Altidore-2021-1,2021,2161250,3602250
175,Teemu-Pukki-2023-1,2023,3200000,3550000
176,Carles-Gil-2022-1,2022,3250000,3545833
178,Carles-Gil-2023-1,2023,3250000,3545833
180,Maximiliano-Morález-2020-1,2020,2750000,3535000
181,Wayne-Rooney-2019-1,2019,3500000,3507500
183,Robbie-Keane-2016-1,2016,3500000,3500000
185,Rodolfo-Pizarro-2020-1,2020,3050000,3350000
186,Rodolfo-Pizarro-2021-1,2021,3050000,3350000
190,Rodolfo-Pizarro-2023-1,2023,3050000,3350000
192,Josef-Martínez-2020-1,2020,3250000,3308333
193,Maximiliano-Morález-2021-1,2021,2500000,3285000
195,Nicolás-Lodeiro-2022-1,2022,2640000,3256667
197,Nicolás-Lodeiro-2023-1,2023,2640000,3256667
199,Jermaine-Jones-2014-1,2014,3000000,3252500
200,Franco-Jara-2022-1,2022,2540000,3227000
202,Raúl-Ruidíaz-2022-1,2022,2472000,3201120
204,Raúl-Ruidíaz-2023-1,2023,2472000,3201120
206,Hany-Mukhtar-2023-1,2023,2900000,3188750
208,Victor-Wanyama-2020-1,2020,2416107,3107774
209,Victor-Wanyama-2021-1,2021,2400000,3091667
211,Victor-Wanyama-2022-1,2022,2400000,3091667
212,Josef-Martínez-2019-1,2019,3000000,3058333
214,Jermaine-Jones-2015-1,2015,2800000,3052500
216,Carles-Gil-2021-1,2021,2750000,3045833
218,Obafemi-Martins-2015-1,2015,2400000,3000000
220,Franco-Jara-2021-1,2021,2290000,2977000
222,Jozy-Altidore-2023-1,2023,2381139,2939963
223,Sam-Surridge-2023-1,2023,2500000,2907639
224,Franco-Jara-2020-1,2020,2200000,2887000
225,Cucho-Hernández-2022-1,2022,2600000,2886000
226,Cucho-Hernández-2023-1,2023,2600000,2886000
228,Sebastián-Blanco-2019-1,2019,2740008,2853341
229,Jürgen-Locadia-2021-1,2021,2500000,2812500
230,Wayne-Rooney-2018-1,2018,2769231,2776731
233,Nicolás-Lodeiro-2021-1,2021,2120000,2736667
235,Pablo-Piatti-2020-1,2020,2400000,2720000
236,Robert-Beric-2020-1,2020,2274996,2703164
237,Robert-Beric-2021-1,2021,2274996,2703164
239,Sebastián-Driussi-2021-1,2021,2571420,2688420
240,Adrien-Hunou-2022-1,2022,2450000,2687702
241,Diego-Rossi-2023-1,2023,2625000,2677000
242,Gustavo-Bou-2022-1,2022,2500000,2675000
244,Gustavo-Bou-2023-1,2023,2500000,2675000
246,Nicolás-Lodeiro-2020-1,2020,2120000,2622500
247,Carles-Gil-2020-1,2020,2100000,2619667
248,Diego-Valeri-2017-1,2017,2227500,2607500
250,Marco-Di-Vaio-2014-1,2014,1500000,2600000
252,Adrien-Hunou-2021-1,2021,2350000,2587702
253,Tim-Howard-2016-1,2016,2100000,2575000
255,Ryan-Gauld-2023-1,2023,2400000,2505000
257,Nicolás-Lodeiro-2019-1,2019,2000000,2502500
259,Landon-Donovan-2013-1,2013,2500000,2500000
262,Nani-2019-1,2019,2333333,2486250
263,Nani-2020-1,2020,2333333,2486250
264,Nani-2021-1,2021,2333333,2486250
267,Tim-Howard-2017-1,2017,2000000,2475000
269,Tim-Howard-2018-1,2018,2000000,2475000
271,Tim-Howard-2019-1,2019,2000000,2475000
273,Denis-Bouanga-2023-1,2023,2083333,2472222
274,Diego-Valeri-2019-1,2019,2320000,2420000
276,Gareth-Bale-2022-1,2022,1600000,2386667
277,Diego-Valeri-2018-1,2018,2320000,2380000
279,Gastón-Giménez-2022-1,2022,2060000,2360667
281,Gastón-Giménez-2021-1,2021,2058000,2358667
283,Ezequiel-Barco-2021-1,2021,1875000,2358333
284,Albert-Rusnák-2021-1,2021,2150000,2351667
286,Carlos-Salcedo-2022-1,2022,2200000,2351000
287,Walker-Zimmerman-2022-1,2022,2088235,2345214
288,Carles-Gil-2019-1,2019,2100000,2337500
290,Thiago-Almada-2022-1,2022,1650000,2332000
292,Thiago-Almada-2023-1,2023,1650000,2332000
294,Sebastián-Driussi-2022-1,2022,2200000,2317000
296,Andrea-Pirlo-2015-1,2015,2000004,2315694
298,Sebastián-Blanco-2020-1,2020,2200000,2313333
299,Sebastián-Blanco-2021-1,2021,2200000,2313333
301,Jürgen-Locadia-2020-1,2020,2000000,2312500
302,Gyasi-Zardes-2019-1,2019,2261667,2311667
303,Nicolás-Lodeiro-2018-1,2018,1800000,2302500
305,Miguel-Almirón-2017-1,2017,1912500,2297000
307,Miguel-Almirón-2018-1,2018,1912500,2297000
309,Emiliano-Rigoni-2022-1,2022,1846152,2294152
310,Marco-Fabián-2019-1,2019,2000727,2274087
312,Ryan-Gauld-2022-1,2022,2160000,2265000
314,Karol-Swiderski-2022-1,2022,2200000,2258000
316,Karol-Swiderski-2023-1,2023,2200000,2258000
318,Evander-2023-1,2023,1885000,2230000
320,Jefferson-Savarino-2022-1,2022,2000000,2224292
321,Luciano-Acosta-2021-1,2021,1943500,2222854
323,Luciano-Acosta-2022-1,2022,1943500,2222854
325,Luciano-Acosta-2023-1,2023,1943500,2222854
326,Brenner-2022-1,2022,1680000,2218600
328,Brenner-2023-1,2023,1680000,2218600
333,Alan-Pulido-2020-1,2020,2200000,2200000
334,Alan-Pulido-2021-1,2021,2200000,2200000
338,Alan-Pulido-2023-1,2023,2200000,2200000
340,Nicolás-Gaitán-2019-1,2019,1400004,2197504
342,Didier-Drogba-2016-1,2016,1666667,2191667
344,Didier-Drogba-2015-1,2015,1666668,2166668
346,Georgios-Giakoumakis-2023-1,2023,1576636,2160453
347,Emanuel-Reynoso-2023-1,2023,1600000,2151200
349,Gonzalo-Higuaín-2020-1,2020,1457148,2150898
350,Saba-Lobzhanidze-2023-1,2023,2052000,2150750
351,Carlos-Ferreira-2023-1,2023,1760000,2130200
353,Gustavo-Bou-2020-1,2020,2120000,2120000
354,Gustavo-Bou-2021-1,2021,2120000,2120000
356,Thiago-Martins-2023-1,2023,1650000,2112000
358,Raúl-Ruidíaz-2021-1,2021,2100000,2100000
360,Gustavo-Bou-2019-1,2019,2100000,2100000
361,Mateusz-Klich-2023-1,2023,1900000,2093588
363,Cristian-Arango-2023-1,2023,1899996,2088746
364,Denis-Bouanga-2022-1,2022,2083333,2083333
366,Yura-Movsisyan-2018-1,2018,1850000,2073750
367,Walker-Zimmerman-2023-1,2023,1800000,2056979
369,Ercan-Kara-2023-1,2023,1860000,2053601
370,Albert-Rusnák-2020-1,2020,1850000,2051667
371,Emiliano-Rigoni-2023-1,2023,1599996,2047996
373,Raúl-Ruidíaz-2020-1,2020,2040000,2040000
374,Ryan-Gauld-2021-1,2021,1920000,2025000
375,Albert-Rusnák-2019-1,2019,1800000,2001667
377,Raúl-Ruidíaz-2018-1,2018,2000004,2000004
378,Raúl-Ruidíaz-2019-1,2019,2000004,2000004
379,Johnny-Russell-2022-1,2022,2000000,2000000
381,Jonathan-dos-Santos-2017-1,2017,2000000,2000000
382,Jonathan-dos-Santos-2018-1,2018,2000000,2000000
384,Jonathan-dos-Santos-2019-1,2019,2000000,2000000
386,Jonathan-dos-Santos-2020-1,2020,2000000,2000000
387,Jonathan-dos-Santos-2021-1,2021,2000000,2000000
389,Maximiliano-Morález-2017-1,2017,2000000,2000000
391,Maximiliano-Morález-2018-1,2018,2000000,2000000
393,Maximiliano-Morález-2019-1,2019,2000000,2000000
395,Romain-Alessandrini-2017-1,2017,1669401,1999401
397,Lucas-Zelarayán-2021-1,2021,1620000,1985000
399,Yura-Movsisyan-2017-1,2017,1750000,1973750
401,Carlos-Ferreira-2022-1,2022,1600000,1970200
403,Fanendo-Adi-2019-1,2019,1360008,1965008
405,Yeferson-Soteldo-2021-1,2021,1500000,1965000
406,Thiago-Martins-2022-1,2022,1500000,1962000
408,Romain-Alessandrini-2019-1,2019,1610004,1940004
409,Mikael-Uhre-2023-1,2023,1700000,1940000
411,Lucas-Zelarayán-2020-1,2020,1575000,1940000
412,Marco-Di-Vaio-2013-1,2013,1000008,1937508
415,Fanendo-Adi-2018-1,2018,1275000,1933333
417,Hany-Mukhtar-2022-1,2022,1637500,1926250
418,Nemanja-Nikolic-2019-1,2019,1700000,1913333
420,Nemanja-Nikolic-2017-1,2017,1700000,1906333
422,Nemanja-Nikolic-2018-1,2018,1700000,1906333
424,Albert-Rusnák-2022-1,2022,1800000,1871667
426,Albert-Rusnák-2023-1,2023,1800000,1871667
428,Gastón-Giménez-2020-1,2020,1320000,1870667
429,Romain-Alessandrini-2018-1,2018,1539996,1869996
432,Ercan-Kara-2022-1,2022,1860000,1860000
434,Jesús-Ferreira-2023-1,2023,1650000,1852000
436,Mauricio-Pereyra-2021-1,2021,1800000,1848000
437,Giacomo-Vrioni-2023-1,2023,1600000,1847500
439,Yimmi-Chará-2022-1,2022,1500000,1803000
441,Yimmi-Chará-2023-1,2023,1500000,1803000
443,Kevin-Cabral-2023-1,2023,1800000,1800000
446,Darlington-Nagbe-2023-1,2023,1800000,1800000
448,Fredy-Montero-2017-1,2017,1400000,1800000
451,Victor-Wanyama-2023-1,2023,1440000,1800000
453,Bojan-2020-1,2020,1500000,1799572
454,Fanendo-Adi-2020-1,2020,1370008,1775008
455,Sergio-Busquets-2023-1,2023,1500000,1775000
456,Damir-Kreilach-2022-1,2022,1762572,1762572
457,Brenner-2021-1,2021,1221818,1760418
459,Darlington-Nagbe-2022-1,2022,1760000,1760000
461,Valeri-Qazaishvili-2020-1,2020,1625004,1754042
462,Obafemi-Martins-2014-1,2014,1620000,1753333
