"","Player","Team","Season","Position","Base Salary","Guaranteed Compensation","Date"
"","Lionel Messi","MIA","2023","M","$12,000,000","$20,446,668","2023-09-15"
"","Lorenzo Insigne","TOR","2023","M","$7,500,000","$15,400,000","2023-09-15"
"","Lorenzo Insigne","TOR","2022","F","$14,000,000","$14,000,000","2022-09-02"
"","Xherdan Shaqiri","CHI","2022","M","$7,350,000","$8,153,000","2022-04-15"
"","Xherdan Shaqiri","CHI","2022","M","$7,350,000","$8,153,000","2022-09-02"
"","Xherdan Shaqiri","CHI","2023","M","$7,350,000","$8,153,000","2023-04-30"
"","Xherdan Shaqiri","CHI","2023","M","$7,350,000","$8,153,000","2023-09-15"
"","Lorenzo Insigne","TOR","2023","F","$7,500,000","$7,500,000","2023-04-30"
"","Chicharito","LAG","2022","F","$6,000,000","$7,443,750","2022-09-02"
"","Chicharito","LAG","2023","F","$6,000,000","$7,443,750","2023-04-30"
"","Chicharito","LAG","2023","F","$6,000,000","$7,443,750","2023-09-15"
"","Zlatan Ibrahimovic","LAG","2019","F","$7,200,000","$7,200,000","2019-06-01"
"","Zlatan Ibrahimovic","LAG","2019","F","$7,200,000","$7,200,000","2019-09-13"
"","Kaká","ORL","2014","M","$6,660,000","$7,167,500","2014-09-15"
"","Kaká","ORL","2015","M","$6,660,000","$7,167,500","2015-07-15"
"","Kaká","ORL","2015","M","$6,660,000","$7,167,500","2015-09-15"
"","Kaká","ORL","2016","M","$6,660,000","$7,167,500","2016-05-15"
"","Kaká","ORL","2016","M","$6,660,000","$7,167,500","2016-09-15"
"","Kaká","ORL","2017","M","$6,660,000","$7,167,500","2017-04-15"
"","Kaká","ORL","2017","M","$6,660,000","$7,167,500","2017-09-15"
"","Sebastian Giovinco","TOR","2015","M","$5,600,000","$7,115,556","2015-07-15"
"","Sebastian Giovinco","TOR","2015","M","$5,600,000","$7,115,556","2015-09-15"
"","Sebastian Giovinco","TOR","2016","F","$5,600,000","$7,115,556","2016-05-15"
"","Sebastian Giovinco","TOR","2016","F","$5,600,000","$7,115,556","2016-09-15"
"","Sebastian Giovinco","TOR","2017","F","$5,600,000","$7,115,556","2017-04-15"
"","Sebastian Giovinco","TOR","2017","F","$5,600,000","$7,115,556","2017-09-15"
"","Sebastian Giovinco","TOR","2018","F","$5,600,000","$7,115,556","2018-05-01"
"","Sebastian Giovinco","TOR","2018","F","$5,600,000","$7,115,556","2018-09-15"
"","Clint Dempsey","SEA","2014","F","$4,913,004","$6,695,189","2014-04-01"
"","Clint Dempsey","SEA","2014","F","$4,913,004","$6,695,189","2014-09-15"
"","Michael Bradley","TOR","2014","M","$6,000,000","$6,500,000","2014-04-01"
"","Michael Bradley","TOR","2014","M","$6,000,000","$6,500,000","2014-09-15"
"","Michael Bradley","TOR","2015","M","$6,000,000","$6,500,000","2015-07-15"
"","Michael Bradley","TOR","2015","M","$6,000,000","$6,500,000","2015-09-15"
"","Michael Bradley","TOR","2016","M","$6,000,000","$6,500,000","2016-05-15"
"","Michael Bradley","TOR","2016","M","$6,000,000","$6,500,000","2016-09-15"
"","Michael Bradley","TOR","2017","M","$6,000,000","$6,500,000","2017-04-15"
"","Michael Bradley","TOR","2017","M","$6,000,000","$6,500,000","2017-09-15"
"","Michael Bradley","TOR","2018","M","$6,000,000","$6,500,000","2018-05-01"
"","Michael Bradley","TOR","2018","M","$6,000,000","$6,500,000","2018-09-15"
