"","Player","Team","Season","Minutes","Shots Faced","Goals Conceded","Saves","Header %","xG","G-xG","G/xG"
"","Đorđe Petrović","NER","2022","2065","111","26","84","5.4%","36.75","-10.75","0.71"
"","Tim Melia","SKC","2017","2994","116","23","91","18.1%","33.37","-10.37","0.69"
"","Andre Blake","PHI","2022","3394","130","26","100","12.3%","34.58","-8.58","0.75"
"","Bill Hamid","DCU","2014","2921","146","34","110","13.0%","42.48","-8.48","0.80"
"","Matt Turner","NER","2019","1938","116","27","87","12.1%","35.47","-8.47","0.76"
"","Matt Turner","NER","2020","2163","90","22","68","13.3%","30.37","-8.37","0.72"
"","Roman Bürki","STL","2023","3296","165","40","123","14.5%","48.29","-8.29","0.83"
"","Stefan Frei","SEA","2018","3241","150","33","114","16.7%","40.84","-7.84","0.81"
"","Luis Robles","NYRB","2013","3320","147","39","103","9.5%","46.69","-7.69","0.84"
"","Steve Clark","POR","2019","2410","109","24","84","15.6%","31.35","-7.35","0.77"
"","Andre Blake","PHI","2021","2585","98","22","76","18.4%","29.34","-7.34","0.75"
"","Nick Rimando","RSL","2015","2343","93","23","66","22.6%","30.10","-7.10","0.76"
"","Nick Rimando","RSL","2013","2626","112","28","82","18.8%","34.75","-6.75","0.81"
"","Matt Turner","NER","2021","2752","138","34","101","13.0%","40.47","-6.47","0.84"
"","David Ousted","VAN","2015","3313","138","36","99","13.0%","42.34","-6.34","0.85"
"","Steve Clark","CLB","2014","3304","153","40","111","14.4%","46.26","-6.26","0.86"
"","Daniel","SJE","2023","2168","114","28","84","14.0%","34.04","-6.04","0.82"
"","Stefan Frei","SEA","2015","2952","144","33","111","17.4%","38.25","-5.25","0.86"
"","Aljaz Ivacic","POR","2022","3208","163","48","112","16.6%","53.07","-5.07","0.90"
"","Nick Rimando","RSL","2014","2344","97","25","71","17.5%","30.03","-5.03","0.83"
"","Evan Bush","MTL","2018","3321","184","50","132","20.1%","54.90","-4.90","0.91"
"","JT Marcinkowski","SJE","2021","3292","186","50","129","13.4%","54.85","-4.85","0.91"
"","Donovan Ricketts","POR","2013","3126","126","31","92","23.8%","35.82","-4.82","0.87"
"","Bill Hamid","DCU","2015","2421","133","29","101","12.0%","33.82","-4.82","0.86"
"","Maxime Crépeau","VAN","2021","2684","126","29","97","15.1%","33.61","-4.61","0.86"
"","Jeff Attinella","RSL","2014","981","60","14","45","13.3%","18.39","-4.39","0.76"
