,Date,Home,HG,Away,AG
0,2023-10-18,MIA,2,CLT,2
1,2023-10-14,LAG,2,RSL,2
2,2023-10-14,NSH,3,NER,2
3,2023-10-14,FCD,1,COL,1
4,2023-10-07,SEA,0,VAN,0
5,2023-10-07,RSL,2,SKC,3
6,2023-10-07,CHI,0,CLT,2
7,2023-10-07,MIN,5,LAG,2
8,2023-10-07,HOU,5,COL,1
9,2023-10-07,ATX,1,LAFC,4
10,2023-10-07,FCD,1,SJE,1
11,2023-10-07,NYRB,3,TOR,0
12,2023-10-07,MIA,0,CIN,1
13,2023-10-07,MTL,4,POR,1
14,2023-10-07,PHI,0,NSH,0
15,2023-10-07,ORL,3,NER,2
16,2023-10-07,ATL,1,CLB,1
17,2023-10-07,DCU,2,NYC,0
18,2023-10-04,VAN,3,STL,0
19,2023-10-04,LAFC,4,MIN,1
20,2023-10-04,SEA,2,LAG,1
21,2023-10-04,NSH,0,ORL,1
22,2023-10-04,CHI,4,MIA,1
23,2023-10-04,ATX,3,DCU,0
24,2023-10-04,PHI,3,ATL,2
25,2023-10-04,MTL,1,HOU,1
26,2023-10-04,NER,1,CLB,2
27,2023-10-04,CLT,3,TOR,0
28,2023-10-04,CIN,1,NYRB,2
29,2023-10-01,LAFC,0,RSL,1
30,2023-09-30,LAG,3,POR,2
31,2023-09-30,VAN,2,DCU,2
32,2023-09-30,COL,1,ATX,0
33,2023-09-30,MIA,1,NYC,1
34,2023-09-30,NSH,0,SEA,0
35,2023-09-30,MIN,1,SJE,1
36,2023-09-30,STL,4,SKC,1
37,2023-09-30,HOU,0,FCD,0
38,2023-09-30,NER,2,CLT,1
39,2023-09-30,ORL,2,MTL,0
40,2023-09-30,CLB,1,PHI,1
41,2023-09-30,TOR,2,CIN,3
42,2023-09-30,NYRB,0,CHI,1
43,2023-09-27,COL,2,VAN,2
44,2023-09-27,PHI,1,FCD,1
45,2023-09-24,ATX,3,LAG,3
46,2023-09-24,ORL,1,MIA,1
47,2023-09-24,NYC,3,TOR,0
48,2023-09-23,SJE,1,NSH,1
49,2023-09-23,POR,3,COL,2
50,2023-09-23,RSL,2,VAN,1
51,2023-09-23,FCD,1,CLB,0
52,2023-09-23,SKC,2,HOU,1
53,2023-09-23,MIN,1,STL,2
54,2023-09-23,CHI,2,NER,2
55,2023-09-23,DCU,3,NYRB,5
56,2023-09-23,ATL,4,MTL,1
57,2023-09-23,CIN,3,CLT,0
58,2023-09-23,PHI,0,LAFC,0
59,2023-09-20,LAG,4,MIN,3
60,2023-09-20,POR,2,SJE,1
61,2023-09-20,COL,1,SEA,2
62,2023-09-20,RSL,1,FCD,3
63,2023-09-20,STL,0,LAFC,0
64,2023-09-20,SKC,0,NSH,3
65,2023-09-20,HOU,4,VAN,0
66,2023-09-20,DCU,1,ATL,1
67,2023-09-20,CLT,2,PHI,2
68,2023-09-20,NYC,2,ORL,0
69,2023-09-20,CLB,3,CHI,0
70,2023-09-20,MTL,1,CIN,1
71,2023-09-20,MIA,4,TOR,0
72,2023-09-20,NYRB,0,ATX,1
73,2023-09-17,ATX,1,POR,2
74,2023-09-16,SJE,2,RSL,1
75,2023-09-16,LAFC,4,LAG,2
76,2023-09-16,COL,2,NER,1
77,2023-09-16,FCD,1,SEA,1
78,2023-09-16,HOU,1,STL,1
79,2023-09-16,MIN,0,SKC,1
80,2023-09-16,MTL,0,CHI,0
81,2023-09-16,TOR,1,VAN,2
82,2023-09-16,PHI,2,CIN,2
83,2023-09-16,ORL,4,CLB,3
84,2023-09-16,CLT,0,DCU,0
85,2023-09-16,ATL,4,MIA,2
86,2023-09-16,NYC,0,NYRB,0
87,2023-09-10,LAG,2,STL,2
88,2023-09-09,POR,2,LAFC,0
89,2023-09-09,MIN,1,NER,1
90,2023-09-09,MIA,3,SKC,2
91,2023-09-09,DCU,0,SJE,0
92,2023-09-03,LAFC,1,MIA,3
93,2023-09-03,PHI,4,NYRB,1
94,2023-09-02,SJE,1,MIN,1
95,2023-09-02,LAG,0,HOU,0
96,2023-09-02,SEA,2,POR,2
97,2023-09-02,RSL,2,COL,0
98,2023-09-02,FCD,2,ATL,2
99,2023-09-02,SKC,2,STL,1
100,2023-09-02,NSH,1,CLT,1
101,2023-09-02,NER,2,ATX,2
102,2023-09-02,DCU,3,CHI,0
103,2023-09-02,MTL,2,CLB,3
104,2023-09-02,CIN,0,ORL,1
105,2023-09-02,NYC,1,VAN,1
106,2023-08-30,SJE,1,LAG,3
107,2023-08-30,POR,2,RSL,1
108,2023-08-30,ATX,1,SEA,2
109,2023-08-30,MIN,3,COL,0
110,2023-08-30,HOU,2,CLB,0
111,2023-08-30,STL,2,FCD,1
112,2023-08-30,CHI,0,VAN,1
113,2023-08-30,MIA,0,NSH,0
114,2023-08-30,ATL,1,CIN,2
115,2023-08-30,CLT,1,ORL,1
116,2023-08-30,NYC,2,MTL,0
117,2023-08-30,NER,1,NYRB,0
118,2023-08-30,TOR,3,PHI,1
119,2023-08-27,MIN,0,SEA,1
120,2023-08-26,LAG,3,CHI,0
121,2023-08-26,POR,2,VAN,3
122,2023-08-26,RSL,0,HOU,3
123,2023-08-26,FCD,1,ATX,0
124,2023-08-26,SKC,3,SJE,0
125,2023-08-26,DCU,1,PHI,3
126,2023-08-26,CIN,3,NYC,0
127,2023-08-26,CLB,2,TOR,0
128,2023-08-26,NYRB,0,MIA,2
129,2023-08-26,MTL,1,NER,0
130,2023-08-26,ATL,4,NSH,0
131,2023-08-26,CLT,2,LAFC,1
132,2023-08-26,ORL,2,STL,1
133,2023-08-23,LAFC,4,COL,0
134,2023-08-20,VAN,0,SJE,1
135,2023-08-20,SEA,0,ATL,2
136,2023-08-20,STL,6,ATX,3
137,2023-08-20,HOU,5,POR,0
138,2023-08-20,CHI,1,ORL,3
139,2023-08-20,NYRB,1,DCU,0
140,2023-08-20,CLB,3,CIN,0
141,2023-08-20,TOR,2,MTL,2
142,2023-08-20,NYC,0,MIN,2
143,2023-07-15,POR,3,CLB,2
144,2023-07-15,SEA,0,FCD,1
145,2023-07-15,VAN,4,LAG,2
146,2023-07-15,COL,0,HOU,0
147,2023-07-15,RSL,3,NYRB,1
148,2023-07-15,ATX,2,SKC,1
149,2023-07-15,STL,3,MIA,0
150,2023-07-15,CIN,3,NSH,1
151,2023-07-15,CHI,1,TOR,0
152,2023-07-15,MIN,1,LAFC,1
153,2023-07-15,MTL,2,CLT,0
154,2023-07-15,ATL,1,ORL,2
155,2023-07-15,NER,3,DCU,0
156,2023-07-15,PHI,2,NYC,1
157,2023-07-12,LAFC,3,STL,0
158,2023-07-12,SJE,2,SEA,0
159,2023-07-12,VAN,2,ATX,1
160,2023-07-12,CHI,3,MTL,0
161,2023-07-12,COL,0,POR,0
162,2023-07-12,HOU,0,MIN,3
163,2023-07-12,SKC,2,RSL,2
164,2023-07-12,NSH,0,PHI,2
165,2023-07-12,NER,2,ATL,1
166,2023-07-12,NYRB,1,CIN,2
167,2023-07-08,LAFC,1,SJE,1
168,2023-07-08,LAG,2,PHI,1
169,2023-07-08,VAN,2,SEA,3
170,2023-07-08,RSL,4,ORL,0
171,2023-07-08,COL,2,FCD,1
172,2023-07-08,MIN,1,ATX,4
173,2023-07-08,CHI,1,NSH,0
174,2023-07-08,HOU,2,SKC,2
175,2023-07-08,CLT,2,CIN,2
176,2023-07-08,TOR,0,STL,1
177,2023-07-08,MTL,0,ATL,1
178,2023-07-08,CLB,1,NYC,1
179,2023-07-08,NYRB,2,NER,1
180,2023-07-08,DCU,2,MIA,2
181,2023-07-05,NYC,1,CLT,1
182,2023-07-04,LAG,2,LAFC,1
183,2023-07-04,FCD,0,DCU,1
184,2023-07-04,MIA,2,CLB,2
185,2023-07-04,ORL,4,TOR,0
186,2023-07-02,ATL,2,PHI,0
187,2023-07-01,SEA,1,HOU,0
188,2023-07-01,SJE,2,LAG,2
189,2023-07-01,MTL,0,NYC,1
190,2023-07-01,SKC,3,VAN,0
191,2023-07-01,NSH,2,DCU,0
192,2023-07-01,STL,2,COL,0
193,2023-07-01,MIN,3,POR,1
194,2023-07-01,FCD,2,LAFC,0
195,2023-07-01,CIN,2,NER,1
196,2023-07-01,ORL,3,CHI,1
197,2023-07-01,CLB,2,NYRB,1
198,2023-07-01,TOR,0,RSL,1
199,2023-07-01,MIA,1,ATX,1
200,2023-06-24,SJE,1,STL,2
201,2023-06-24,SEA,0,ORL,0
202,2023-06-24,LAFC,2,VAN,3
203,2023-06-24,POR,1,NYC,1
204,2023-06-24,ATX,3,HOU,0
205,2023-06-24,COL,0,LAG,0
206,2023-06-24,RSL,2,MIN,2
207,2023-06-24,SKC,0,CHI,1
208,2023-06-24,CLT,0,MTL,0
209,2023-06-24,NYRB,4,ATL,0
210,2023-06-24,DCU,3,CIN,0
211,2023-06-24,CLB,1,NSH,0
212,2023-06-24,NER,2,TOR,1
213,2023-06-24,PHI,3,MIA,1
214,2023-06-21,ATX,3,FCD,0
215,2023-06-21,LAFC,1,SEA,0
216,2023-06-21,POR,1,CHI,2
217,2023-06-21,LAG,2,SKC,2
218,2023-06-21,STL,1,RSL,3
219,2023-06-21,HOU,4,SJE,1
220,2023-06-21,CIN,3,TOR,0
221,2023-06-21,ATL,2,NYC,2
222,2023-06-21,NYRB,2,CLT,2
223,2023-06-21,MTL,1,NSH,0
224,2023-06-21,ORL,2,PHI,2
225,2023-06-17,SJE,0,POR,0
226,2023-06-17,SKC,1,LAFC,2
227,2023-06-17,NSH,3,STL,1
228,2023-06-17,DCU,1,RSL,2
229,2023-06-17,NER,3,ORL,1
230,2023-06-17,NYC,1,CLB,1
231,2023-06-14,LAFC,0,HOU,1
232,2023-06-11,POR,1,FCD,0
233,2023-06-11,STL,1,LAG,1
234,2023-06-10,VAN,1,CIN,1
235,2023-06-10,SJE,2,PHI,1
236,2023-06-10,RSL,0,NYC,0
237,2023-06-10,HOU,4,LAFC,0
238,2023-06-10,SKC,4,ATX,1
239,2023-06-10,CHI,1,CLB,2
240,2023-06-10,ORL,2,COL,0
241,2023-06-10,TOR,1,NSH,1
242,2023-06-10,ATL,3,DCU,1
243,2023-06-10,CLT,3,SEA,3
244,2023-06-10,NER,3,MIA,1
245,2023-06-10,MTL,4,MIN,0
246,2023-06-07,LAFC,0,ATL,0
247,2023-06-07,FCD,2,STL,0
248,2023-06-03,VAN,1,SKC,1
249,2023-06-03,COL,0,SJE,0
250,2023-06-03,STL,3,HOU,0
251,2023-06-03,ATX,1,RSL,2
252,2023-06-03,FCD,1,NSH,1
253,2023-06-03,MIN,1,TOR,1
254,2023-06-03,CLB,4,CLT,2
255,2023-06-03,PHI,3,MTL,0
256,2023-06-03,MIA,1,DCU,2
257,2023-06-03,NYRB,0,ORL,3
258,2023-06-03,CIN,1,CHI,0
259,2023-06-03,SEA,0,POR,0
260,2023-06-03,NYC,0,NER,0
261,2023-05-31,SEA,0,SJE,1
262,2023-05-31,VAN,6,HOU,2
263,2023-05-31,SKC,2,FCD,1
264,2023-05-31,RSL,2,LAG,3
265,2023-05-31,ATX,2,MIN,1
266,2023-05-31,MIA,0,NYRB,1
267,2023-05-31,NYC,1,CIN,3
268,2023-05-31,DCU,2,MTL,2
269,2023-05-31,TOR,0,CHI,0
270,2023-05-31,PHI,0,CLT,0
271,2023-05-31,CLB,3,COL,2
