,Player_ID,Passes,Distance,Vertical,Score,Season
0,Jonathan-dos-Santos-2019-1,2117,19.39,4.21,101.38,2019
1,Jon-Busch-2014-1,1164,48.75,43.06,92.75,2014
2,Osvaldo-Alonso-2014-1,2188,20.46,6.45,90.71,2014
3,Osvaldo-Alonso-2016-1,2237,21.08,5.96,79.71,2016
4,Diego-Chara-2019-1,1766,19.93,6.46,77.89,2019
5,Jon-Busch-2013-1,1066,53.65,48.56,77.52,2013
6,Tyler-Miller-2023-1,1205,37.64,31.21,73.69,2023
7,Haris-Medunjanin-2019-1,2723,21.84,8.14,73.41,2019
8,Clint-Irwin-2013-1,876,53.51,48.48,72.17,2013
9,Wil-Trapp-2017-1,2286,20.94,6.42,71.76,2017
10,Michael-Bradley-2019-1,2129,21.04,6.09,71.56,2019
11,Jackson-Ragen-2023-1,1797,23.31,9.29,68.25,2023
12,Matt-Besler-2018-1,2138,23.76,9.46,66.96,2018
13,David-Bingham-2019-1,1022,44.83,38.02,66.87,2019
14,Bastian-Schweinsteiger-2019-1,1894,23.22,9.11,66.12,2019
15,Boris-Sekulic-2022-1,1513,16.98,5.45,66.02,2022
16,Darlington-Nagbe-2017-1,1348,17.58,1.87,65.09,2017
17,Reto-Ziegler-2019-1,2091,23.35,8.7,64.71,2019
18,Diego-Polenta-2019-1,1408,22.22,9.75,63.22,2019
19,Graham-Zusi-2017-1,1563,21.37,1.84,62.72,2017
20,Eddie-Segura-2019-1,1990,20.47,7.85,62.45,2019
21,Alejandro-Bedoya-2018-1,1687,17.93,3.93,62.13,2018
22,Chad-Marshall-2016-1,1253,23.55,11.19,61.97,2016
23,Jack-Price-2021-1,1818,23.29,5.12,61.92,2021
24,Gregory-Van-der-Wiel-2018-1,1448,19.31,4.09,61.66,2018
25,Aidan-Morris-2023-1,1900,17.8,1.74,61.36,2023
26,Osvaldo-Alonso-2019-1,1508,19.85,6.01,61.31,2019
27,Osvaldo-Alonso-2017-1,1698,21.4,6.01,61.26,2017
28,Osvaldo-Alonso-2015-1,1454,20.79,5.63,60.85,2015
29,Michael-Bradley-2018-1,2700,21.24,6.72,59.26,2018
30,Bastian-Schweinsteiger-2018-1,2073,22.3,8.13,58.82,2018
31,Michael-Bradley-2017-1,2349,21.3,6.24,58.41,2017
32,Osvaldo-Alonso-2018-1,1367,21.34,5.84,57.98,2018
33,Darlington-Nagbe-2015-1,1433,17.35,1.61,57.32,2015
34,Júnior-Moreno-2019-1,1730,17.59,3.72,57.25,2019
35,Diego-Chara-2015-1,1445,21.3,7.34,57.0,2015
36,Auro-2019-1,1373,17.35,2.58,56.95,2019
37,Aníbal-Godoy-2017-1,1491,21.88,4.92,56.65,2017
38,Albert-Rusnák-2021-1,1652,21.41,1.8,56.51,2021
39,Robin-Jansson-2021-1,1314,23.23,11.65,56.43,2021
40,Keegan-Rosenberry-2019-1,1540,19.71,7.05,56.32,2019
41,Ashley-Cole-2018-1,1378,18.16,3.52,56.25,2018
42,Chad-Marshall-2017-1,983,22.84,7.9,56.22,2017
43,Ned-Grabavoy-2013-1,1327,15.68,2.12,56.1,2013
44,Steven-Moreira-2023-1,2189,19.47,5.98,56.0,2023
45,Remi-Walter-2023-1,1442,20.27,2.0,55.67,2023
46,Andreu-Fontàs-2021-1,2825,23.2,7.15,55.45,2021
47,Darlington-Nagbe-2021-1,1689,19.06,1.97,55.06,2021
48,,1698,21.62,8.72,54.81,2023
49,Alan-Franco-2022-1,1930,21.63,7.09,54.81,2022
50,Darlington-Nagbe-2019-1,1711,18.23,2.13,54.64,2019
51,Tommy-Thompson-2019-1,1456,16.32,2.41,54.61,2019
52,Michael-Bradley-2021-1,2234,19.41,6.21,53.92,2021
53,Jackson-Yueill-2023-1,1845,18.61,6.29,53.83,2023
54,Michael-Bradley-2014-1,1720,23.65,7.77,53.48,2014
55,Diego-Palacios-2022-1,1640,18.09,2.96,53.36,2022
56,Mark-Delgado-2022-1,1996,18.13,4.67,53.21,2022
57,Joevin-Jones-2016-1,1675,17.72,2.59,53.2,2016
58,Joel-Waterman-2022-1,1951,21.84,8.1,53.04,2022
59,Juninho-2014-1,2231,20.68,4.15,52.99,2014
60,Nat-Borchers-2015-1,954,25.63,9.79,52.98,2015
61,Darlington-Nagbe-2016-1,1260,17.63,1.99,52.89,2016
62,Graham-Zusi-2018-1,2524,21.57,4.06,52.23,2018
63,Michael-Parkhurst-2015-1,1644,26.05,10.39,52.12,2015
64,Ryan-Gauld-2023-1,1248,20.6,3.81,51.97,2023
65,Darlington-Nagbe-2023-1,1592,16.28,1.85,51.79,2023
66,Andrew-Farrell-2021-1,1676,25.45,12.47,51.6,2021
67,Ilie-Sánchez-2021-1,2173,25.19,8.75,51.56,2021
68,Joel-Waterman-2023-1,1711,24.48,9.9,51.48,2023
69,Sebastian-Lletget-2019-1,1442,17.03,0.88,50.91,2019
70,Alexander-Callens-2017-1,1960,22.9,9.03,50.85,2017
71,Rudy-Camacho-2022-1,1815,21.6,9.43,50.83,2022
72,Nick-Rimando-2019-1,1003,39.5,32.21,50.8,2019
73,Aníbal-Godoy-2021-1,1273,20.09,2.66,50.43,2021
74,Cristian-Roldan-2017-1,1953,19.79,6.45,50.3,2017
75,Wil-Trapp-2018-1,2091,22.03,7.3,50.11,2018
76,Kamal-Miller-2021-1,1631,20.22,8.56,49.89,2021
77,Brooks-Lennon-2023-1,1901,19.54,-0.44,49.85,2023
78,Dave-Romney-2021-1,1615,24.07,9.09,49.81,2021
79,Diego-Chara-2018-1,1352,19.13,4.8,49.69,2018
80,Héctor-Herrera-2023-1,2243,20.35,5.5,49.5,2023
81,Matt-Hedges-2019-1,1946,23.08,9.32,49.13,2019
82,Reggie-Cannon-2018-1,1505,16.76,2.04,49.04,2018
83,Andreu-Fontàs-2023-1,1942,23.48,8.04,48.84,2023
84,Jonathan-Osorio-2018-1,1542,16.24,1.22,48.78,2018
85,Julian-Araujo-2022-1,1828,18.08,1.96,48.67,2022
86,Diego-Chara-2013-1,1631,18.91,5.92,48.57,2013
87,Brooks-Lennon-2021-1,1628,19.65,-0.57,48.47,2021
88,Alexander-Callens-2018-1,2110,21.04,7.33,48.01,2018
89,César-Araujo-2022-1,1486,19.46,4.27,47.99,2022
90,Jonathan-Mensah-2022-1,1671,22.17,7.9,47.85,2022
91,Andre-Blake-2018-1,991,42.06,35.01,47.54,2018
92,Júnior-Moreno-2023-1,1117,18.11,3.35,47.13,2023
93,Jonathan-Osorio-2020-1,1068,16.2,3.02,46.95,2020
94,Alexander-Callens-2022-1,1622,19.95,6.87,46.9,2022
95,Josh-Williams-2017-1,983,21.9,9.83,46.28,2017
96,Connor-Ronan-2023-1,1998,22.92,5.73,46.19,2023
97,Nicolás-Lodeiro-2022-1,1942,19.15,4.54,46.15,2022
98,Gastón-Brugman-2023-1,1582,19.22,6.33,46.04,2023
99,Jordan-Harvey-2019-1,1457,17.22,2.42,45.69,2019
100,Albert-Rusnák-2022-1,1687,20.05,4.47,45.57,2022
101,Javier-Morales-2015-1,1780,18.86,4.02,45.39,2015
102,Michael-Boxall-2023-1,1429,21.45,8.15,45.28,2023
103,Rudy-Camacho-2021-1,1753,21.53,8.88,44.82,2021
104,Wil-Trapp-2021-1,1718,19.96,6.04,44.71,2021
105,Darlington-Nagbe-2022-1,1734,18.35,1.94,44.7,2022
106,Robin-Lod-2022-1,955,16.54,3.82,44.51,2022
107,Gustav-Svensson-2017-1,1496,21.45,7.03,44.34,2017
108,Aníbal-Godoy-2016-1,1217,21.03,5.07,44.01,2016
109,Chris-Tierney-2015-1,1755,22.9,6.73,44.0,2015
110,Sebastian-Lletget-2021-1,1087,17.7,1.34,43.69,2021
111,Juninho-2013-1,1873,23.25,6.24,43.18,2013
112,Cristian-Roldan-2019-1,1642,20.2,4.7,42.86,2019
113,Thiago-Martins-2023-1,1677,22.83,6.72,42.83,2023
114,Matt-Polster-2021-1,1442,20.76,3.95,42.77,2021
115,Frédéric-Brillant-2016-1,1618,24.4,10.33,42.62,2016
116,D.J.-Taylor-2022-1,1175,20.22,7.63,42.54,2022
117,Keaton-Parks-2021-1,1502,17.81,4.66,42.47,2021
118,Matt-Hedges-2018-1,1547,24.45,10.11,42.41,2018
119,Javier-Morales-2016-1,1863,18.58,4.34,42.36,2016
120,Brooks-Lennon-2022-1,1303,19.23,0.23,42.16,2022
121,Reto-Ziegler-2018-1,1635,26.01,10.54,42.07,2018
122,Alex-Roldan-2022-1,1860,18.09,1.92,42.05,2022
123,Mauricio-Pereyra-2022-1,1636,20.61,5.8,41.94,2022
124,Jamiro-Monteiro-2019-1,1341,17.43,3.58,41.68,2019
125,Tony-Beltran-2017-1,1141,17.87,6.58,41.34,2017
126,José-Van-Rankin-2021-1,1391,17.58,5.15,41.31,2021
127,Diego-Chara-2017-1,1369,20.36,5.67,41.3,2017
128,Jonathan-dos-Santos-2021-1,1360,19.18,4.15,41.21,2021
129,Andreu-Fontàs-2022-1,1864,23.67,8.35,41.07,2022
130,Pedro-Vite-2023-1,1138,18.88,4.13,41.06,2023
131,Justen-Glad-2023-1,1752,24.63,8.74,40.96,2023
132,Keaton-Parks-2023-1,1440,18.7,3.41,40.85,2023
133,Ike-Opara-2017-1,1707,22.96,8.01,40.72,2017
134,Liam-Ridgewell-2015-1,1316,29.47,17.0,40.61,2015
135,Víctor-Vázquez-2022-1,911,19.25,3.59,40.41,2022
136,Brad-Evans-2016-1,934,20.95,6.79,40.41,2016
137,Nicolás-Lodeiro-2018-1,2037,20.15,4.31,40.35,2018
138,Zarek-Valentin-2018-1,1492,21.67,5.28,40.11,2018
139,Osvaldo-Alonso-2013-1,1514,21.13,6.01,40.09,2013
140,João-Paulo-2023-1,2097,20.8,4.7,40.06,2023
141,Jonathan-dos-Santos-2018-1,1498,19.14,4.34,39.97,2018
142,Matheus-Rossetto-2023-1,1294,17.66,2.89,39.96,2023
143,Daniel-Steres-2016-1,1371,25.05,10.96,39.94,2016
144,Alfredo-Morales-2022-1,1245,19.07,4.91,39.83,2022
145,Chris-Wingert-2015-1,1281,21.11,10.71,39.75,2015
146,Antonio-Mlinar-Delamea-2017-1,931,24.33,9.69,39.6,2017
147,Julian-Araujo-2021-1,1841,18.23,1.78,39.46,2021
148,Chase-Gasper-2021-1,1612,17.62,3.54,39.31,2021
149,Chad-Marshall-2015-1,1000,23.64,10.61,39.29,2015
150,Ben-Sweat-2018-1,1528,18.22,3.17,39.28,2018
151,Adam-Larsen-Kwarasey-2015-1,942,50.0,43.61,39.18,2015
152,Luke-Boden-2015-1,1594,19.68,6.54,39.07,2015
153,Ned-Grabavoy-2014-1,1317,17.09,2.31,38.91,2014
154,Jack-Price-2019-1,1381,22.94,6.08,38.87,2019
155,Aníbal-Godoy-2020-1,979,21.48,4.36,38.86,2020
156,Sam-Cronin-2014-1,1564,22.12,4.74,38.84,2014
157,Brooks-Lennon-2018-1,1945,20.52,2.96,38.8,2018
158,Kai-Wagner-2021-1,1994,22.76,4.45,38.63,2021
159,Thiago-Martins-2022-1,1415,21.0,5.32,38.5,2022
160,Chris-Mavinga-2019-1,1199,21.53,6.96,38.27,2019
161,Justen-Glad-2016-1,1049,22.5,8.39,38.24,2016
162,Drew-Moor-2016-1,1459,22.25,9.17,38.15,2016
163,Antônio-Carlos-2021-1,1391,23.3,8.55,37.98,2021
164,DeJuan-Jones-2022-1,1914,18.01,1.2,37.93,2022
165,Alistair-Johnston-2022-1,1657,19.6,3.04,37.89,2022
166,Raymon-Gaddis-2015-1,1243,19.63,10.14,37.73,2015
167,Lalas-Abubakar-2021-1,1047,21.07,7.03,37.63,2021
168,Nathan-Sturgis-2013-1,1296,19.15,5.36,37.14,2013
