,Player_ID,Season,Base Salary,Guaranteed Compensation
0,Lorenzo-Insigne-2022-1,2022,"$14,000,000","$14,000,000"
1,Xherdan-Shaqiri-2022-1,2022,"$7,350,000","$8,153,000"
2,Xherdan-Shaqiri-2022-1,2022,"$7,350,000","$8,153,000"
3,Xherdan-Shaqiri-2023-1,2023,"$7,350,000","$8,153,000"
4,Lorenzo-Insigne-2023-1,2023,"$7,500,000","$7,500,000"
5,Chicharito-2022-1,2022,"$6,000,000","$7,443,750"
6,Chicharito-2023-1,2023,"$6,000,000","$7,443,750"
7,Carlos-Vela-2021-1,2021,"$4,500,000","$6,300,000"
8,Carlos-Vela-2021-1,2021,"$4,500,000","$6,300,000"
9,Federico-Bernardeschi-2023-1,2023,"$3,125,000","$6,295,381"
10,Federico-Bernardeschi-2022-1,2022,"$3,125,000","$6,256,322"
11,Sebastián-Driussi-2023-1,2023,"$3,800,000","$6,022,500"
12,Chicharito-2021-1,2021,"$6,000,000","$6,000,000"
13,Chicharito-2021-1,2021,"$6,000,000","$6,000,000"
14,Chicharito-2022-1,2022,"$6,000,000","$6,000,000"
15,Gonzalo-Higuaín-2021-1,2021,"$5,100,000","$5,793,750"
16,Gonzalo-Higuaín-2021-1,2021,"$5,100,000","$5,793,750"
17,Gonzalo-Higuaín-2022-1,2022,"$5,100,000","$5,793,750"
18,Gonzalo-Higuaín-2022-1,2022,"$5,100,000","$5,793,750"
19,Héctor-Herrera-2022-1,2022,"$4,750,000","$5,246,875"
20,Héctor-Herrera-2023-1,2023,"$4,750,000","$5,246,875"
21,Alejandro-Pozuelo-2021-1,2021,"$3,800,000","$4,693,000"
22,Alejandro-Pozuelo-2021-1,2021,"$3,800,000","$4,693,000"
23,,2022,"$3,800,000","$4,693,000"
24,,2022,"$3,800,000","$4,693,000"
25,Douglas-Costa-2022-1,2022,"$3,000,000","$4,508,333"
26,Douglas-Costa-2023-1,2023,"$3,000,000","$4,508,333"
27,Luiz-Araújo-2023-1,2023,"$3,600,000","$4,483,333"
28,Luiz-Araújo-2022-1,2022,"$3,600,000","$4,480,333"
29,Christian-Benteke-2023-1,2023,"$4,250,000","$4,432,778"
30,Josef-Martínez-2023-1,2023,"$4,000,000","$4,391,667"
31,Jozy-Altidore-2022-1,2022,"$3,706,139","$4,264,963"
32,Jozy-Altidore-2022-1,2022,"$3,706,139","$4,264,963"
33,Christian-Benteke-2022-1,2022,"$4,000,000","$4,182,778"
34,Josef-Martínez-2022-1,2022,"$3,750,000","$4,141,667"
35,Josef-Martínez-2022-1,2022,"$3,750,000","$4,141,667"
36,Carlos-Vela-2022-1,2022,"$2,250,000","$4,050,000"
37,Luiz-Araújo-2021-1,2021,"$3,600,000","$3,941,667"
38,Luiz-Araújo-2022-1,2022,"$3,600,000","$3,941,667"
39,Josef-Martínez-2021-1,2021,"$3,500,000","$3,891,667"
40,Josef-Martínez-2021-1,2021,"$3,500,000","$3,891,667"
41,Lucas-Zelarayán-2023-1,2023,"$3,200,000","$3,800,000"
42,Lucas-Zelarayán-2022-1,2022,"$3,100,000","$3,700,000"
43,Lucas-Zelarayán-2022-1,2022,"$3,100,000","$3,700,000"
44,Jozy-Altidore-2021-1,2021,"$2,161,250","$3,602,250"
