"","Player","Team","Season","Position","Base Salary","Guaranteed Compensation","Date"
"","Lorenzo Insigne","TOR","2022","F","$14,000,000","$14,000,000","2022-09-02"
"","Xherdan Shaqiri","CHI","2022","M","$7,350,000","$8,153,000","2022-04-15"
"","Xherdan Shaqiri","CHI","2022","M","$7,350,000","$8,153,000","2022-09-02"
"","Xherdan Shaqiri","CHI","2023","M","$7,350,000","$8,153,000","2023-04-30"
"","Lorenzo Insigne","TOR","2023","F","$7,500,000","$7,500,000","2023-04-30"
"","Chicharito","LAG","2022","F","$6,000,000","$7,443,750","2022-09-02"
"","Chicharito","LAG","2023","F","$6,000,000","$7,443,750","2023-04-30"
"","Carlos Vela","LAFC","2021","F","$4,500,000","$6,300,000","2021-04-15"
"","Carlos Vela","LAFC","2021","F","$4,500,000","$6,300,000","2021-09-30"
"","Federico Bernardeschi","TOR","2023","F","$3,125,000","$6,295,381","2023-04-30"
"","Federico Bernardeschi","TOR","2022","F","$3,125,000","$6,256,322","2022-09-02"
"","Sebastián Driussi","ATX","2023","M","$3,800,000","$6,022,500","2023-04-30"
"","Chicharito","LAG","2021","F","$6,000,000","$6,000,000","2021-04-15"
"","Chicharito","LAG","2021","F","$6,000,000","$6,000,000","2021-09-30"
"","Chicharito","LAG","2022","F","$6,000,000","$6,000,000","2022-04-15"
"","Gonzalo Higuaín","MIA","2021","F","$5,100,000","$5,793,750","2021-04-15"
"","Gonzalo Higuaín","MIA","2021","F","$5,100,000","$5,793,750","2021-09-30"
"","Gonzalo Higuaín","MIA","2022","F","$5,100,000","$5,793,750","2022-04-15"
"","Gonzalo Higuaín","MIA","2022","F","$5,100,000","$5,793,750","2022-09-02"
"","Héctor Herrera","HOU","2022","M","$4,750,000","$5,246,875","2022-09-02"
"","Héctor Herrera","HOU","2023","M","$4,750,000","$5,246,875","2023-04-30"
"","Alejandro Pozuelo","TOR","2021","M","$3,800,000","$4,693,000","2021-04-15"
"","Alejandro Pozuelo","TOR","2021","M","$3,800,000","$4,693,000","2021-09-30"
"","Alejandro Pozuelo","TOR","2022","M","$3,800,000","$4,693,000","2022-04-15"
"","Alejandro Pozuelo","MIA","2022","M","$3,800,000","$4,693,000","2022-09-02"
"","Douglas Costa","LAG","2022","F","$3,000,000","$4,508,333","2022-09-02"
"","Douglas Costa","LAG","2023","F","$3,000,000","$4,508,333","2023-04-30"
"","Luiz Araújo","ATL","2023","F","$3,600,000","$4,483,333","2023-04-30"
"","Luiz Araújo","ATL","2022","F","$3,600,000","$4,480,333","2022-09-02"
"","Christian Benteke","DCU","2023","F","$4,250,000","$4,432,778","2023-04-30"
"","Josef Martínez","MIA","2023","F","$4,000,000","$4,391,667","2023-04-30"
"","Jozy Altidore","NER","2022","F","$3,706,139","$4,264,963","2022-04-15"
"","Jozy Altidore","NER","2022","F","$3,706,139","$4,264,963","2022-09-02"
"","Christian Benteke","DCU","2022","F","$4,000,000","$4,182,778","2022-09-02"
"","Josef Martínez","ATL","2022","F","$3,750,000","$4,141,667","2022-04-15"
"","Josef Martínez","ATL","2022","F","$3,750,000","$4,141,667","2022-09-02"
"","Carlos Vela","LAFC","2022","F","$2,250,000","$4,050,000","2022-04-15"
"","Luiz Araújo","ATL","2021","F","$3,600,000","$3,941,667","2021-09-30"
"","Luiz Araújo","ATL","2022","F","$3,600,000","$3,941,667","2022-04-15"
"","Josef Martínez","ATL","2021","F","$3,500,000","$3,891,667","2021-04-15"
"","Josef Martínez","ATL","2021","F","$3,500,000","$3,891,667","2021-09-30"
"","Lucas Zelarayán","CLB","2023","M","$3,200,000","$3,800,000","2023-04-30"
"","Lucas Zelarayán","CLB","2022","M","$3,100,000","$3,700,000","2022-04-15"
"","Lucas Zelarayán","CLB","2022","M","$3,100,000","$3,700,000","2022-09-02"
"","Jozy Altidore","TOR","2021","F","$2,161,250","$3,602,250","2021-04-15"
"","Jozy Altidore","TOR","2021","F","$2,161,250","$3,602,250","2021-09-30"
"","Carles Gil","NER","2022","M","$3,250,000","$3,545,833","2022-04-15"
"","Carles Gil","NER","2022","M","$3,250,000","$3,545,833","2022-09-02"
"","Carles Gil","NER","2023","M","$3,250,000","$3,545,833","2023-04-30"
"","Rodolfo Pizarro","MIA","2021","M","$3,050,000","$3,350,000","2021-04-15"
"","Rodolfo Pizarro","MIA","2021","M","$3,050,000","$3,350,000","2021-09-30"
"","Rodolfo Pizarro","MIA","2022","M","$3,050,000","$3,350,000","2022-04-15"
"","Rodolfo Pizarro","MIA","2022","M","$3,050,000","$3,350,000","2022-09-02"
"","Rodolfo Pizarro","MIA","2023","M","$3,050,000","$3,350,000","2023-04-30"
"","Carlos Vela","LAFC","2023","F","$3,000,000","$3,337,500","2023-04-30"
"","Maximiliano Morález","NYC","2021","M","$2,500,000","$3,285,000","2021-04-15"
"","Maximiliano Morález","NYC","2021","M","$2,500,000","$3,285,000","2021-09-30"
"","Nicolás Lodeiro","SEA","2022","M","$2,640,000","$3,256,667","2022-04-15"
"","Nicolás Lodeiro","SEA","2022","M","$2,640,000","$3,256,667","2022-09-02"
"","Nicolás Lodeiro","SEA","2023","M","$2,640,000","$3,256,667","2023-04-30"
"","Franco Jara","FCD","2022","F","$2,540,000","$3,227,000","2022-04-15"
"","Franco Jara","FCD","2022","F","$2,540,000","$3,227,000","2022-09-02"
"","Raúl Ruidíaz","SEA","2022","F","$2,472,000","$3,201,120","2022-04-15"
"","Raúl Ruidíaz","SEA","2022","F","$2,472,000","$3,201,120","2022-09-02"
"","Raúl Ruidíaz","SEA","2023","F","$2,472,000","$3,201,120","2023-04-30"
"","Hany Mukhtar","NSH","2023","M","$2,900,000","$3,188,750","2023-04-30"
"","Victor Wanyama","MTL","2021","M","$2,400,000","$3,091,667","2021-04-15"
