,Team,Season,Games,ShtF,ShtA,GF,GA,Pts,TeamID
0,NER,2021,34,495,482,62,40,73,NER2021
1,LAFC,2019,34,621,345,84,34,72,LAFC2019
2,NYRB,2018,34,456,377,61,32,71,NYRB2018
3,TOR,2017,34,441,404,71,37,69,TOR2017
4,ATL,2018,34,511,377,67,44,69,ATL2018
5,CIN,2023,34,448,395,56,37,69,CIN2023
6,PHI,2022,34,450,434,70,26,67,PHI2022
7,LAFC,2022,34,532,376,65,36,67,LAFC2022
8,MTL,2022,34,425,317,61,48,65,MTL2022
9,NYC,2019,34,516,393,63,39,64,NYC2019
10,SEA,2014,34,470,440,64,47,64,SEA2014
11,ORL,2023,34,402,413,54,38,63,ORL2023
12,SKC,2018,34,583,405,65,39,62,SKC2018
13,LAG,2014,34,542,349,67,35,61,LAG2014
14,COL,2021,34,458,417,50,34,61,COL2021
15,SEA,2021,34,427,385,53,32,60,SEA2021
16,NYRB,2015,34,476,399,62,42,60,NYRB2015
17,FCD,2015,34,399,385,51,38,60,FCD2015
18,FCD,2016,34,451,331,49,38,60,FCD2016
19,NYRB,2013,34,404,453,56,39,59,NYRB2013
20,SEA,2018,34,430,455,49,36,59,SEA2018
21,DCU,2014,34,366,457,48,37,59,DCU2014
22,SKC,2021,34,469,398,58,40,58,SKC2021
23,SKC,2013,34,501,302,46,30,58,SKC2013
24,ATL,2019,34,509,384,55,41,58,ATL2019
25,COL,2016,34,435,419,39,32,58,COL2016
26,POR,2013,34,445,429,53,33,57,POR2013
27,CLB,2023,34,503,361,63,45,57,CLB2023
28,NYRB,2016,34,441,399,59,43,57,NYRB2016
29,LAFC,2018,34,527,429,65,52,57,LAFC2018
30,NYC,2017,34,484,421,56,43,57,NYC2017
31,FCD,2018,34,483,441,50,43,57,FCD2018
32,ATX,2022,34,424,442,64,48,56,ATX2022
33,STL,2023,34,460,444,59,43,56,STL2023
34,RSL,2013,34,449,394,56,41,56,RSL2013
35,RSL,2014,34,441,467,53,39,56,RSL2014
36,NYC,2018,34,533,420,57,44,56,NYC2018
37,SEA,2019,34,425,474,50,47,56,SEA2019
38,ATL,2017,34,438,401,69,37,55,ATL2017
39,NYC,2022,34,482,360,56,39,55,NYC2022
40,PHI,2023,34,455,392,54,38,55,PHI2023
41,CHI,2017,34,419,394,59,45,55,CHI2017
42,NER,2023,34,417,517,55,45,55,NER2023
43,PHI,2019,34,475,394,57,49,55,PHI2019
44,NER,2014,34,468,433,49,45,55,NER2014
45,POR,2021,34,442,520,54,51,55,POR2021
46,NSH,2021,34,454,382,54,31,54,NSH2021
47,PHI,2021,34,433,391,45,32,54,PHI2021
48,FCD,2014,34,379,482,52,42,54,FCD2014
49,NYC,2016,34,463,455,62,55,54,NYC2016
50,POR,2018,34,466,452,52,45,54,POR2018
51,CLB,2017,34,400,444,53,49,54,CLB2017
52,LAG,2013,34,489,326,52,38,53,LAG2013
53,TOR,2016,34,478,383,51,38,53,TOR2016
54,SEA,2017,34,500,410,51,39,53,SEA2017
55,POR,2017,34,480,418,59,49,53,POR2017
56,VAN,2015,34,440,386,45,36,53,VAN2015
57,FCD,2022,34,402,427,46,37,53,FCD2022
58,SEA,2023,34,429,363,38,30,53,SEA2023
59,NYRB,2022,34,451,303,48,41,53,NYRB2022
60,MIN,2019,34,467,491,50,43,53,MIN2019
61,RSL,2019,34,428,430,46,40,53,RSL2019
62,CLB,2015,34,464,433,57,53,53,CLB2015
63,POR,2015,34,486,405,41,39,53,POR2015
64,LAFC,2023,34,526,352,53,38,52,LAFC2023
65,LAG,2016,34,358,523,52,38,52,LAG2016
66,CLB,2014,34,474,419,51,40,52,CLB2014
67,VAN,2017,34,392,520,49,49,52,VAN2017
68,SEA,2013,34,411,431,39,42,52,SEA2013
69,NYC,2021,34,516,323,55,35,51,NYC2021
70,HOU,2023,34,385,391,51,37,51,HOU2023
71,NER,2013,34,398,419,48,36,51,NER2013
72,ATL,2023,34,440,426,64,52,51,ATL2023
73,DCU,2018,34,396,546,59,49,51,DCU2018
74,LAG,2015,34,406,395,56,46,51,LAG2015
75,SEA,2015,34,331,464,44,36,51,SEA2015
76,ATL,2021,34,455,447,42,37,51,ATL2021
77,COL,2013,34,460,395,43,38,51,COL2013
78,MTL,2015,34,434,425,48,44,51,MTL2015
79,ORL,2021,34,407,425,49,45,51,ORL2021
80,SKC,2015,34,405,351,47,44,51,SKC2015
81,LAG,2019,34,470,568,58,56,51,LAG2019
82,HOU,2013,34,472,428,40,39,51,HOU2013
83,CLB,2018,34,497,365,41,43,51,CLB2018
84,DCU,2015,34,373,492,42,45,51,DCU2015
85,SJE,2013,34,439,437,34,42,51,SJE2013
86,NSH,2022,34,446,438,52,41,50,NSH2022
87,HOU,2017,34,469,437,55,44,50,HOU2017
88,TOR,2019,34,439,424,57,50,50,TOR2019
89,LAG,2022,34,475,393,57,51,50,LAG2022
90,NYRB,2014,34,402,463,55,50,50,NYRB2014
91,NYRB,2017,34,450,390,50,46,50,NYRB2017
92,DCU,2019,34,428,578,41,37,50,DCU2019
93,VAN,2014,34,452,442,41,40,50,VAN2014
94,NER,2015,34,388,395,47,47,50,NER2015
95,PHI,2018,34,475,428,49,49,50,PHI2018
96,RSL,2023,34,496,418,48,49,50,RSL2023
97,SKC,2017,34,514,341,39,27,49,SKC2017
98,POR,2014,34,474,463,58,48,49,POR2014
99,SKC,2014,34,468,350,47,39,49,SKC2014
100,NSH,2023,34,383,428,38,31,49,NSH2023
101,CIN,2022,34,438,458,60,55,49,CIN2022
102,MTL,2013,34,418,495,50,48,49,MTL2013
103,POR,2019,34,561,482,50,48,49,POR2019
104,TOR,2015,34,468,410,57,56,49,TOR2015
105,VAN,2021,34,349,494,43,43,49,VAN2021
106,MIN,2021,34,509,409,41,42,49,MIN2021
107,RSL,2018,34,465,446,55,57,49,RSL2018
108,CHI,2013,34,505,475,45,49,49,CHI2013
109,VAN,2013,34,438,514,53,41,48,VAN2013
110,NYRB,2021,34,495,315,39,33,48,NYRB2021
111,LAG,2018,34,425,522,66,61,48,LAG2018
112,FCD,2019,34,470,433,51,46,48,FCD2019
113,VAN,2023,34,451,404,51,47,48,VAN2023
114,RSL,2021,34,455,494,54,51,48,RSL2021
115,NYRB,2019,34,447,430,50,49,48,NYRB2019
116,SEA,2016,34,432,430,43,43,48,SEA2016
117,MIN,2022,34,421,473,46,47,48,MIN2022
118,LAG,2021,34,433,487,47,52,48,LAG2021
119,MIA,2022,34,379,470,46,55,48,MIA2022
120,ORL,2022,34,408,410,42,52,48,ORL2022
121,PHI,2020,23,297,267,43,20,47,PHI2020
122,DCU,2021,34,451,387,55,49,47,DCU2021
123,SKC,2016,34,478,323,42,38,47,SKC2016
